ocid,id,contracts/0/id,contracts/0/items/0/id,contracts/0/items/0/unit/name,contracts/0/items/0/unit/value/amount,contracts/0/items/0/unit/value/currency,contracts/0/items/0/description,contracts/0/items/0/quantity,contracts/0/items/0/classification/id,contracts/0/items/0/classification/scheme,contracts/0/items/0/classification/description
ocds-lcuori-5118,ocds-lcuori-5118/3-contract,5118,13508,Unidad,7.5,HNL,BORRADOR PARA PIZARRA TAMA?O ESTANDAR Producto Exento,5.0,44111912,UNSPSC,Borrador de pizarra
ocds-lcuori-5118,ocds-lcuori-5118/3-contract,5118,13509,Unidad,3.36,HNL,MINAS 0.5,216.0,44121916,UNSPSC,Repuestos para l?pices portaminas
ocds-lcuori-5118,ocds-lcuori-5118/3-contract,5118,13510,Unidad,3.36,HNL,MINAS 0.7,144.0,44121916,UNSPSC,Repuestos para l?pices portaminas
ocds-lcuori-5118,ocds-lcuori-5118/3-contract,5118,13511,Resma,69.44,HNL,PAPEL BOND REPORT CARTA,300.0,14111511,UNSPSC,Papel bond o de escribir
ocds-lcuori-5120,ocds-lcuori-5120/3-contract,5120,13513,Unidad,2140.73,HNL,Paquete de dos cartuchos de toner negro HP 85A CE285AD,10.0,44103103,UNSPSC,Toner
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,5234,13952,Unidad,7.935,HNL,"CINTA ADHESIVA COLOR TRANSPARENTE MEDIDA 2"" x 30 yds(Tape) ",5.0,44121605,UNSPSC,Rollos de cinta adhesiva transparente
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,5234,13953,Unidad,13.11,HNL,"CINTA ADHESIVA INDUSTRIAL COLOR TRANSPARENTE MEDIDA 2"" x 50 yds(Tape)",2.0,44121605,UNSPSC,Rollos de cinta adhesiva transparente
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,5234,13954,Resma,379.5,HNL,FOLDER TAMA?O LEGAL RESMA DE 100 UNIDADES,2.0,44122011,UNSPSC,Carpetas para archivos o folder
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,5234,13955,Unidad,19.2625,HNL,"TIJERA DE ACERO INOXIDABLE MEDIDA 8""",4.0,44121618,UNSPSC,Tijeras
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,5234,13956,Unidad,43.7,HNL,PEGAMENTO EN BARRA PRESENTACION DE 40 GRAMOS,20.0,31201610,UNSPSC,Colas o pegamentos
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,5234,13957,Unidad,9.2,HNL,LIBRETA DE TAQUIGRAFIA. Producto Exento,5.0,14111531,UNSPSC,Libros o cuadernos de registro
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,5234,13958,Unidad,1.84,HNL,"SOBRE MANILA 10"" x 13"" ",100.0,44121506,UNSPSC,Sobres est?ndar
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,5234,13959,Caja,74.75,HNL,"PAPEL CARBON COLOR NEGRO TAMA?O CARTA, CAJA DE 100 HOJAS",1.0,14111527,UNSPSC,Papel autocopiativo o papel carbon
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13490,Unidad,3.584,HNL,CLIP PARA PAPEL TAMA?O 33 mm,10.0,44122104,UNSPSC,Clips para papel
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13491,Unidad,18.48,HNL,FASTENERS METALICOS DE 8 cms,5.0,44122118,UNSPSC,Fasteners
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13492,Unidad,0.9,HNL,LAPIZ GRAFITO HB. Producto Exento,25.0,60121520,UNSPSC,L?pices de carboncillo
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13493,Resma,175.28,HNL,CARATULA PARA ENCUADERNACION TRANSPARENTE TAMA?O CARTA RESMA DE 100 UNIDADES,4.0,44103502,UNSPSC,Cubiertas de encuadernaci?n
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13494,Resma,140.0,HNL,CARATULA PARA ENCUADERNACION DE COLORES TAMA?O CARTA RESMA DE 100 UNIDADES,4.0,44103502,UNSPSC,Cubiertas de encuadernaci?n
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13495,Unidad,29.12,HNL,DISPENSADOR DE CINTA ADHESIVA TAMA?O PEQUE?O,1.0,44121635,UNSPSC,Portarrollos de cinta adhesiva
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13496,Unidad,1.25,HNL,BORRADOR PARA LAPIZ GRAFITO 4.1 cm x 1.9 cm x 1.15 cm. Producto Exento,10.0,44121804,UNSPSC,Borradores
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13497,Caja,11.76,HNL,GRAPAS ESTANDAR 26/6 PRESENTACION CAJA DE 5000 UNIDADES,10.0,44122107,UNSPSC,Grapas
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13498,Resma,89.6,HNL,PAPEL BOND REPORT LEGAL,10.0,14111511,UNSPSC,Papel bond o de escribir
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13499,Resma,88.48,HNL,FOLDER TAMA?O CARTA RESMA DE 100 UNIDADES,2.0,44122011,UNSPSC,Carpetas para archivos o folder
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13500,Resma,102.48,HNL,FOLDER TAMA?O OFICIO RESMA DE 100 UNIDADES,2.0,44122011,UNSPSC,Carpetas para archivos o folder
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13501,Unidad,21.056,HNL,"CINTA ADHESIVA COLOR TRANSPARENTE MEDIDA 2"" x 100 yds(Tape)",2.0,44121605,UNSPSC,Rollos de cinta adhesiva transparente
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,13502,Resma,8.12,HNL,CUBIERTAS O SEPARADORES DE CINCO COLORES,4.0,44122013,UNSPSC,Cubiertas de informe o car?tulas
