ocid,id,contracts/0/id,contracts/0/awardID,contracts/0/title,contracts/0/localProcurementCategory,contracts/0/status,contracts/0/period/startDate,contracts/0/description,contracts/0/statusDetails,contracts/0/value/amount,contracts/0/value/currency,contracts/0/buyer/id,contracts/0/buyer/name
ocds-lcuori-5118,ocds-lcuori-5118/3-contract,5118,5118,70-1-21-0007-2014,goodsOrServices,cancelled,2014-01-09T11:32:21-06:00,Utiles de Oficina para la UCP,Anulado,22079.100000000002,HNL,Dzn3Py-byP1K8-prbvrM,UNIDAD DE APOYO POLITICA INTEGRAL DE SEGURIDAD CIUDADANA
ocds-lcuori-5120,ocds-lcuori-5120/3-contract,5120,5120,,goodsOrServices,pending,2014-01-13T13:46:47-06:00,COmpra de Suministros para los departamentos de Gente de Mar Cecamarh Asesoria Legal Secretaria General Almacen,Elaboracion OC,21407.3,HNL,prb3pz-byP1K8-NzBWyw,DEPARTAMENTO DE SEGURIDAD MARITIMA
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,5234,5234,506-1-1-0027-2014,goodsOrServices,pending,2014-02-10T14:44:14-06:00,compra de papeleria y suministros ,Impreso,2080.695,HNL,7zvevr-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,5115,5115,506-1-1-0024-2014,goodsOrServices,pending,2014-01-09T10:55:27-06:00,Compra de papeleria y suministros,Impreso,4807.656,HNL,7zvevr-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA
ocds-lcuori-5116,ocds-lcuori-5116/3-contract,5116,5116,70-1-21-0009-2014,goodsOrServices,cancelled,2014-01-09T11:07:44-06:00,Utiles de Oficina para la Unidad Coordinadora del Programa UCP,Anulado,10669.68,HNL,Dzn3Py-byP1K8-prbvrM,UNIDAD DE APOYO POLITICA INTEGRAL DE SEGURIDAD CIUDADANA
ocds-lcuori-5124,ocds-lcuori-5124/3-contract,5124,5124,806-1-2-0020-2014,goodsOrServices,pending,2014-01-13T15:41:51-06:00,PARA USO DE LA INSTITUCION,Impreso,1372.0,HNL,7zvM5r-byP1K8-NzBWyw,DEPARTAMENTO DE ADMINISTRACION GENERAL
ocds-lcuori-5122,ocds-lcuori-5122/3-contract,5122,5122,10-1-1-0038-2014,goodsOrServices,cancelled,2014-01-13T14:00:43-06:00,Tribunal de Sentencia de tegucigalpa,Anulado,431.2,HNL,6Kdoye-byP1K8-byP1K8,CORTE SUPREMA DE JUSTICIA
ocds-lcuori-5126,ocds-lcuori-5126/3-contract,5126,5126,42-1-1-0012-2014,goodsOrServices,pending,2014-01-14T15:05:43-06:00,El Cuerpo de Bomberos esta excento del ISV,Impreso,1450.1200000000001,HNL,7rEMr2-byP1K8-byP1K8,COMANDANCIA GENERAL
ocds-lcuori-5127,ocds-lcuori-5127/3-contract,5127,5127,144-1-1-0024-2014,goodsOrServices,pending,2014-01-14T16:41:00-06:00,PARA USO DE LOS DIFERENTES DEPARTAMENTO DE PRONADERS,Impreso,3792.0,HNL,BzX17y-byP1K8-byP1K8,UNIDAD EJECUTORA DE PRONADERS
ocds-lcuori-5132,ocds-lcuori-5132/3-contract,5132,5132,42-1-1-0014-2014,goodsOrServices,pending,2014-01-17T08:53:39-06:00,Para ser utilizadas en el departamento de OTPSCI,Impreso,4109.64,HNL,7rEMr2-byP1K8-byP1K8,COMANDANCIA GENERAL
ocds-lcuori-5130,ocds-lcuori-5130/3-contract,5130,5130,10-1-1-0040-2014,goodsOrServices,cancelled,2014-01-16T09:20:21-06:00,Centro Integrado de Servicios Judiciales,Anulado,4183.2,HNL,6Kdoye-byP1K8-byP1K8,CORTE SUPREMA DE JUSTICIA
ocds-lcuori-5135,ocds-lcuori-5135/3-contract,5135,5135,121-1-2-0054-2014,goodsOrServices,pending,2014-01-20T10:59:54-06:00,Compra de material para las diferentes Dependencias para el control de Registro de cada departamento,Impreso,5040.0,HNL,prb3pz-byP1K8-NzBWyw,DEPARTAMENTO DE SEGURIDAD MARITIMA
ocds-lcuori-5134,ocds-lcuori-5134/3-contract,5134,5134,42-1-1-0016-2014,goodsOrServices,pending,2014-01-17T09:00:17-06:00,Para el departamento de OTPSCI,Impreso,9218.08,HNL,7rEMr2-byP1K8-byP1K8,COMANDANCIA GENERAL
ocds-lcuori-5139,ocds-lcuori-5139/3-contract,5139,5139,121-1-2-0058-2014,goodsOrServices,pending,2014-01-20T11:25:48-06:00,Compra de suministros para los diferentes departamentos de la DGMM,Impreso,8204.56,HNL,prb3pz-byP1K8-NzBWyw,DEPARTAMENTO DE SEGURIDAD MARITIMA
ocds-lcuori-5138,ocds-lcuori-5138/3-contract,5138,5138,121-1-2-0057-2014,goodsOrServices,pending,2014-01-20T11:22:04-06:00,Para uso de la Fotocopiadora ubicada en el departamento de Administracion,Impreso,6199.650000000001,HNL,prb3pz-byP1K8-NzBWyw,DEPARTAMENTO DE SEGURIDAD MARITIMA
ocds-lcuori-5143,ocds-lcuori-5143/3-contract,5143,5143,807-1-1-0038-2014,goodsOrServices,pending,2014-01-20T13:58:36-06:00,COMPRA DE MATERIAL DE OFICINA,Impreso,3222.75,HNL,xK3GbK-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-5142,ocds-lcuori-5142/3-contract,5142,5142,807-1-1-0037-2014,goodsOrServices,pending,2014-01-20T13:36:46-06:00,COMPRA DE MATERIAL DE OFICINA,Impreso,86.0,HNL,xK3GbK-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-5144,ocds-lcuori-5144/3-contract,5144,5144,807-1-1-0039-2014,goodsOrServices,pending,2014-01-20T14:11:43-06:00,COMPRA DE MATERIAL DE OFICINA,Impreso,1696.0,HNL,xK3GbK-byP1K8-byP1K8,GERENCIA GENERAL
ocds-lcuori-5149,ocds-lcuori-5149/3-contract,5149,5149,502-1-2-0033-2014,goodsOrServices,pending,2014-01-21T14:11:04-06:00,PAPELERIA PARA SUPLIR A TODA LA INSTITUCION,Impreso,118552.75,HNL,NzB4vK-byP1K8-NzBWyw,GERENCIA ADMINISTRATIVA
ocds-lcuori-5150,ocds-lcuori-5150/3-contract,5150,5150,502-1-2-0034-2014,goodsOrServices,pending,2014-01-21T14:51:24-06:00,SOLICITADO POR EL ALMACEN CENTRAL Y SUPLIR A TODA LA INSTITUCION ,Impreso,872.85,HNL,NzB4vK-byP1K8-NzBWyw,GERENCIA ADMINISTRATIVA
ocds-lcuori-5151,ocds-lcuori-5151/3-contract,5151,5151,502-1-2-0035-2014,goodsOrServices,pending,2014-01-21T15:33:23-06:00,SOLICITADO POR EL ALMACEN CENTRAL PARA SUPLIR A TODA LA INSTITUCION,Impreso,88248.45,HNL,NzB4vK-byP1K8-NzBWyw,GERENCIA ADMINISTRATIVA
ocds-lcuori-5152,ocds-lcuori-5152/3-contract,5152,5152,121-1-2-0060-2014,goodsOrServices,pending,2014-01-22T09:20:20-06:00,Compra de cajas tama?o oficio para archivo Institucional,Impreso,5980.0,HNL,prb3pz-byP1K8-NzBWyw,DEPARTAMENTO DE SEGURIDAD MARITIMA
