ocid,id,language,publisher/name,date,tender/id,tender/localProcurementCategory,tender/procurementMethodDetails,tender/procurementMethod,tag,initiationType,buyer/id,buyer/name
ocds-lcuori-5118,ocds-lcuori-5118/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-01-09T11:32:21-06:00,5118,goodsOrServices,Convenio Marco,open,contract,tender,Dzn3Py-byP1K8-prbvrM,UNIDAD DE APOYO POLITICA INTEGRAL DE SEGURIDAD CIUDADANA
ocds-lcuori-5120,ocds-lcuori-5120/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-01-13T13:46:47-06:00,5120,goodsOrServices,Convenio Marco,open,contract,tender,prb3pz-byP1K8-NzBWyw,DEPARTAMENTO DE SEGURIDAD MARITIMA
ocds-lcuori-5234,ocds-lcuori-5234/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-02-10T14:44:14-06:00,5234,goodsOrServices,Convenio Marco,open,contract,tender,7zvevr-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA
ocds-lcuori-5115,ocds-lcuori-5115/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-01-09T10:55:27-06:00,5115,goodsOrServices,Convenio Marco,open,contract,tender,7zvevr-byP1K8-byP1K8,GERENCIA ADMINISTRATIVA
ocds-lcuori-5116,ocds-lcuori-5116/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-01-09T11:07:44-06:00,5116,goodsOrServices,Convenio Marco,open,contract,tender,Dzn3Py-byP1K8-prbvrM,UNIDAD DE APOYO POLITICA INTEGRAL DE SEGURIDAD CIUDADANA
ocds-lcuori-5124,ocds-lcuori-5124/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-01-13T15:41:51-06:00,5124,goodsOrServices,Convenio Marco,open,contract,tender,7zvM5r-byP1K8-NzBWyw,DEPARTAMENTO DE ADMINISTRACION GENERAL
ocds-lcuori-5122,ocds-lcuori-5122/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-01-13T14:00:43-06:00,5122,goodsOrServices,Convenio Marco,open,contract,tender,6Kdoye-byP1K8-byP1K8,CORTE SUPREMA DE JUSTICIA
ocds-lcuori-5126,ocds-lcuori-5126/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-01-14T15:05:43-06:00,5126,goodsOrServices,Convenio Marco,open,contract,tender,7rEMr2-byP1K8-byP1K8,COMANDANCIA GENERAL
ocds-lcuori-5127,ocds-lcuori-5127/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-01-14T16:41:00-06:00,5127,goodsOrServices,Convenio Marco,open,contract,tender,BzX17y-byP1K8-byP1K8,UNIDAD EJECUTORA DE PRONADERS
ocds-lcuori-5132,ocds-lcuori-5132/3-contract,es,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,2014-01-17T08:53:39-06:00,5132,goodsOrServices,Convenio Marco,open,contract,tender,7rEMr2-byP1K8-byP1K8,COMANDANCIA GENERAL
