ocid,id,awards/0/id,awards/0/description,awards/0/value/amount,awards/0/value/currency
ocds-lcuori-6252,ocds-lcuori-6252/3-contract,6252,COMPRA DE UTILES Y MATERIALES DE OFICINA PARA SUPLIR REQUERIMIENTOS DE LAS OFICINAS DE ESTA SECRETARIA DE ESTADO,1627.71,HNL
ocds-lcuori-6972,ocds-lcuori-6972/3-contract,6972,segun memorando 2690 2015 SGDSMYC de fecha 24 de agosto 2015 la subgerente de suministros materiales y compras olga marina check giro instrucciones para elaboracion de orden de compra por la adquisicion de materiales y utiles de oficina para 6 meses de consumo por la modalidad de catalogo electronico y por la cantidad de lps quinientos cuarenta y un mil doscientos cincuenta y cuatro lempiras exactos lps 541 254 00 autorizacion de gerentel administrativo y financiero se?or mario lopez segun memorando 2746 GAyF de fecha 12 de agosto 2015 segun el lsitado de materiales y utiles de oficina que se adjunto al memorando 2663 2015 SGDSMYC elaborado el se?or cecilio oviedo coordinador de programacion el se?or jose lorenzo coto subgerente de presupuesto informo mediante memorando 1042 SGP la disponibilidad presupuestaria por un valor de quinientos cuarenta y un mil doscientos cincuenta y cuatro lempiras exactos 541 254 00  el dia 08 de agosto mediante correo electronico la se?ora olga marina check comunico se elaboraran las ordenes de compra con impuesto    asimismo se selecciono los productos de todas las opciones segun lo indicado por el se?or cecilio oviedo verbalmente,181001.55000000002,HNL
ocds-lcuori-7050,ocds-lcuori-7050/3-contract,7050,valor que corresponde al pago de la orden de compra sesenta y cinco y demas documentos adjuntos por la compra de producto de papel y carton que seran utilizados en los diferentes establecimientos de salud de intibuca,9352.25,HNL
ocds-lcuori-6253,ocds-lcuori-6253/3-contract,6253,compra de utiles de oficina,11385.0,HNL
ocds-lcuori-6973,ocds-lcuori-6973/3-contract,6973,Compra de material para oficina,55909.205,HNL
ocds-lcuori-7051,ocds-lcuori-7051/3-contract,7051,valor que corresponde al pago de la orden de compra y demas documentos adjuntos por la compra de papel de escritorio que seran utilizados en los diferentes establecimientos de salud de la regional de intibuca,17375.0,HNL
ocds-lcuori-7008,ocds-lcuori-7008/3-contract,7008,COMPRA DE MATERIALES DE OFICINA SEGUN REQUISICION No 2015 941 0009 DE LA UNIDAD DE GESTION Y NEGOCIACION DE LA DEUDA CS DE FECHA 17 DE FEBRERO DE 2015,2781.045,HNL
ocds-lcuori-7052,ocds-lcuori-7052/3-contract,7052,Papeleria e insumos de oficina para ser utilizados en el proceso de captacion y seleccion de los aspirantes a cadetes,6662.1,HNL
ocds-lcuori-7046,ocds-lcuori-7046/3-contract,7046,COMPRA DE UTILES DE OFICINA,4217.087500000001,HNL
ocds-lcuori-7053,ocds-lcuori-7053/3-contract,7053,Para suministrar a las oficinas de la DIECP ,7579.42,HNL
ocds-lcuori-7047,ocds-lcuori-7047/3-contract,7047,COMPRA DE UTILES DE OFICINA,4737.0225,HNL
ocds-lcuori-7054,ocds-lcuori-7054/3-contract,7054,COMPRA DE MATERIALES DE OFICINA SOLICITADOS POR EL ALMACEN CENTRAL TEGUCIGALPA PARA EXISTENCIAS SEGUN REQUISICION No 43320 DE FECHA 16 DE ENERO DE 2015,121223.57,HNL
ocds-lcuori-7048,ocds-lcuori-7048/3-contract,7048,para abastecerla proveeduria de la regional de comayagua,11661.0,HNL
ocds-lcuori-7055,ocds-lcuori-7055/3-contract,7055,COMPRA DE MATERIALES DE OFICINA SOLICITADOS POR EL ALMACEN CENTRAL SEGUN REQUISICION No 43320 DE FECHA 16 DE ENERO DE 2015,53621.3145,HNL
ocds-lcuori-7056,ocds-lcuori-7056/3-contract,7056,5 cajas de fasteners y 1 resma  folders tama?o carta de 100 unidades que seran entregadas en la bodega central de la Secretaria de Educacion  ,165.0,HNL
ocds-lcuori-7057,ocds-lcuori-7057/3-contract,7057,para el centro de CAI San Pedro Sula,262.01,HNL
ocds-lcuori-7058,ocds-lcuori-7058/3-contract,7058,COMPRA DE MATERIALES DE OFICINA SEGUN REQUISICION No 43320 DE FECHA 16 DE ENERO DE 2015 SOLICITADO POR EL ALMACEN CENTRAL PARA CONTROL DE EXISTENCIAS,61967.4855,HNL
ocds-lcuori-7059,ocds-lcuori-7059/3-contract,7059,Compra de varios productos para oficina,1257.6000000000001,HNL
ocds-lcuori-7060,ocds-lcuori-7060/3-contract,7060,para ser utilizado en CAI San Pedro Sula,5761.5,HNL
ocds-lcuori-7061,ocds-lcuori-7061/3-contract,7061,para ser utilizado en Cai San Pedro Sula,935.64,HNL
ocds-lcuori-10538,ocds-lcuori-10538/3-contract,10538,LLANTAS PARA USO EN VEHICULOS SOLICITADO SEGUN REQUISICION SGM 170 2015 PARA DAR CUMPLIMIENTO DE LOS INDICADORES No 1 Y 6 PAPSFOR,,
ocds-lcuori-7236,ocds-lcuori-7236/3-contract,7236,TONER HP Q2612A NEGRO,23722.0275,HNL
ocds-lcuori-7264,ocds-lcuori-7264/3-contract,7264,COMPRA PARA USO DE LAS DIFERENTES OFICINAS DE ESTA SECRETARIA,7410.508000000001,HNL
ocds-lcuori-5872,ocds-lcuori-5872/3-contract,5872,Solicitud de Compra mediante Memorando 2165 GAYF 2015 de fecha 30 de Junio de 2015 de la Gerencia Administrativa y Financiera para compra de papel Bond base 20 tama?o Carta y Oficio para uso Institucional Region de San Pedro Sula y Region Tegucigalpa,1421400.0,HNL
ocds-lcuori-7324,ocds-lcuori-7324/3-contract,7324,COMPRA UTILES DE OFICINA,547.423,HNL
ocds-lcuori-5873,ocds-lcuori-5873/3-contract,5873,Solicitud de compra de la Gerencia Administrativa y Financiera mediante memorando 2165 GAYF 2015 de fecha 30 de junio 2015 compra de papel para uso Institucional region de San pedro Sula y Tegucigalpa,1421400.0,HNL
ocds-lcuori-5874,ocds-lcuori-5874/3-contract,5874,COMPRA DE UTILES DE ESCRITORIO PARA USO DE LA INSTITUCION,5448.655000000001,HNL
ocds-lcuori-5875,ocds-lcuori-5875/3-contract,5875,COMPRA DE UTILES DE ESCRITORIO PARA CONSUMO DE LA INSTITUCION,5271.025000000001,HNL
ocds-lcuori-5876,ocds-lcuori-5876/3-contract,5876,COMPRA DE UTILES DE ESCRITORIO PARA CONSUMO DE LA INSTITUCION,1316.16,HNL
ocds-lcuori-5877,ocds-lcuori-5877/3-contract,5877,COMPRA DE UTILES DE ESCRITORIO PARA CONSUMO DE LA INSTITUCION,5102.282,HNL
ocds-lcuori-5878,ocds-lcuori-5878/3-contract,5878,COMPRA DE UTILES DE ESCRITORIO PARA CONSUMO DE LA INSTITUCION,3285.7110000000002,HNL
ocds-lcuori-5891,ocds-lcuori-5891/3-contract,5891,Utiles de oficina,2476.617,HNL
ocds-lcuori-5892,ocds-lcuori-5892/3-contract,5892,100 Resma folder tama?o carta color amarillo  ,7794.0,HNL
ocds-lcuori-7880,ocds-lcuori-7880/3-contract,7880,CONTA 002,5635.0,HNL
ocds-lcuori-7916,ocds-lcuori-7916/3-contract,7916,MATERIAL DE OFICINA PARA LA DELEGACION REGIONAL DE COMAYAGUA,2106.725,HNL
ocds-lcuori-7996,ocds-lcuori-7996/3-contract,7996,MATERIAL DE OFICINA PARA LA DELEGACION DEPARTAMENTAL DE LEMPIRA,1831.95,HNL
ocds-lcuori-10540,ocds-lcuori-10540/3-contract,10540,LLANTAS PARA USO EN VEHICULOS SOLICITADO SEGUN REQUISICION SGM 170 2015 PARA DAR CUMPLIMIENTO DE LOS INDICADORES No 1 Y 6 PAPSFOR,,
ocds-lcuori-6410,ocds-lcuori-6410/3-contract,6410,compra de papel para ser utilizado en las diferentes oficinas de esta Direccion,6612.5,HNL
ocds-lcuori-5897,ocds-lcuori-5897/3-contract,5897,100 resma folder de cartulina color manila tama?o carta de 100 unidades,7794.0,HNL
ocds-lcuori-6450,ocds-lcuori-6450/3-contract,6450,compra de utiles de oficina para todas las US y deptos de esta region deptal de fco morazan,10930.0,HNL
ocds-lcuori-6451,ocds-lcuori-6451/3-contract,6451,PRODUCTO PARA SER UTILIZADO POR EL PERSONAL DE LA TESORERIA GENERAL DE LA REPUBLICA,15592.84,HNL
ocds-lcuori-6518,ocds-lcuori-6518/3-contract,6518,PAPELERIA Y UTILES ,15702.675,HNL
ocds-lcuori-5829,ocds-lcuori-5829/3-contract,5829,Agua para el departamento de recursos humanos de la Secretaria de Cordinacion General del Gobierno,57546.0,HNL
