ocid,id,awards/0/id,awards/0/value/currency,awards/0/value/amount,awards/0/description
ocds-lcuori-17688,ocds-lcuori-17688/3-contract,17688,HNL,938.4,COMPRA DE MATERIALES PARA OFICINA DEL BANCO CENTRAL DE HONDURAS
ocds-lcuori-21975,ocds-lcuori-21975/3-contract,21975,HNL,1290.875,SE ASIGNARA A LOS ORGANIZADORES DEL CURSO DE NANO CIENCIAS DE LA ESCUELA DE FISICA
ocds-lcuori-15287,ocds-lcuori-15287/3-contract,15287,,, ciento cincuenta resmas de  papel  bond base  veite  color  blanco  tama?o carta ciento cincuenta  resmas de  papel bons base veite  tama?o  oficio 
ocds-lcuori-16803,ocds-lcuori-16803/3-contract,16803,HNL,112.2,PRUEBA PARA SER UTILIZADO EN ADMINISTRACION DE LA PORTUARIA 
ocds-lcuori-22068,ocds-lcuori-22068/3-contract,22068,HNL,36606.956,COMPRA DE INSUMOS PARA LA REALIZACION DE LA PRUEBA DE SOBREVIVENCIA
ocds-lcuori-22217,ocds-lcuori-22217/3-contract,22217,HNL,2124.7555,0082016
ocds-lcuori-22254,ocds-lcuori-22254/3-contract,22254,HNL,42121.648,COMPRA DE TONER PARA USO EN LAS OFICINAS DE LA DIRECCION DEPARTAMENTAL DE EDUCACION DE INTIBUCA
ocds-lcuori-22255,ocds-lcuori-22255/3-contract,22255,HNL,202779.937,SERAN UTILIZADAS PARA EL ABASTECIEMIENTO DEL INSTITUTO DE LA PROPIEDAD
ocds-lcuori-22256,ocds-lcuori-22256/3-contract,22256,HNL,3542.0,ESTE MATERIAL SERA UTILIZADO EL DEPTO DE APOYO TECNICO Y SEGURIDAD VIAL DE LA DIRECCION GENERAL DE CARRETERAS SEGUN EXPEDIENTE INSEP CA11 060 2016
ocds-lcuori-22331,ocds-lcuori-22331/3-contract,22331,HNL,1601.375,para uso de oficina
ocds-lcuori-11794,ocds-lcuori-11794/3-contract,11794,HNL,30838.4,Computadora
ocds-lcuori-11793,ocds-lcuori-11793/3-contract,11793,HNL,1599.9950000000001,PRUEBA
ocds-lcuori-11797,ocds-lcuori-11797/3-contract,11797,HNL,7853.304,SUMINISTROS PARA CEDA
ocds-lcuori-11798,ocds-lcuori-11798/3-contract,11798,HNL,30838.4,COMPUTADORA LAPTOP CORE I 5
ocds-lcuori-11799,ocds-lcuori-11799/3-contract,11799,HNL,47.04,ONCAE
ocds-lcuori-11801,ocds-lcuori-11801/3-contract,11801,HNL,818.8000000000001,SELLLOS FECHADORES PARA FECHAR LIBRETAS DE MARINOS
ocds-lcuori-11802,ocds-lcuori-11802/3-contract,11802,HNL,1466.25,PRUEBA
ocds-lcuori-11805,ocds-lcuori-11805/3-contract,11805,HNL,818.8000000000001,Sellos Fechadores solicitados por el departamento de Gente de Mar
ocds-lcuori-11807,ocds-lcuori-11807/3-contract,11807,HNL,6354.0,Cafe Oro en presentacion de 16 bolsitas cada paquete
ocds-lcuori-11811,ocds-lcuori-11811/3-contract,11811,HNL,10148.75,TAPE DE 2 X 40
ocds-lcuori-11809,ocds-lcuori-11809/3-contract,11809,,,Compra de fechadores para fechar Libretas de Marinos
ocds-lcuori-11813,ocds-lcuori-11813/3-contract,11813,HNL,2428.8,PARA USO DEL INM
ocds-lcuori-11814,ocds-lcuori-11814/3-contract,11814,HNL,30838.4,computadora laptop core i5
ocds-lcuori-11820,ocds-lcuori-11820/3-contract,11820,HNL,2581.635,Papeleria de Oficina
ocds-lcuori-11821,ocds-lcuori-11821/3-contract,11821,HNL,6509.0,COMPRA DE TONERS PARA IMPRESORA HP
ocds-lcuori-11818,ocds-lcuori-11818/3-contract,11818,HNL,100.28,Material de Oficina
ocds-lcuori-11819,ocds-lcuori-11819/3-contract,11819,,,material de oficina
ocds-lcuori-11826,ocds-lcuori-11826/3-contract,11826,HNL,8452.5,oncae
ocds-lcuori-11824,ocds-lcuori-11824/3-contract,11824,HNL,8618.1,COMPRA DE TONERS PARA IMPRESORA PARA USO DE LA INSTITUCION
ocds-lcuori-11825,ocds-lcuori-11825/3-contract,11825,HNL,31.75,PRUEBA
ocds-lcuori-11829,ocds-lcuori-11829/3-contract,11829,HNL,1209.6525000000001,COMPRA DE DESECHABLES PARA USO DE LA GERENCIA
ocds-lcuori-11830,ocds-lcuori-11830/3-contract,11830,HNL,8436.4,PARA USO EN EL JUZGADO DE LETRAS DE CATACAMAS OLANCHO
ocds-lcuori-11831,ocds-lcuori-11831/3-contract,11831,HNL,1268.6290000000001,COMPRA DE AZUCAR Y CAFE PARA LA GERENCIA Y SALA DE VENTAS
ocds-lcuori-11832,ocds-lcuori-11832/3-contract,11832,HNL,1040.0,Compra de 40 botellones de agua purificada para personal de Estacion Central Recklinghausen y Sub Estacion Mayor Luis Rigoberto Vallejo
ocds-lcuori-11833,ocds-lcuori-11833/3-contract,11833,HNL,7734.900000000001,TONER PARA LA ADMON CEDA
ocds-lcuori-11835,ocds-lcuori-11835/3-contract,11835,HNL,1060.5,Compra de Azucar para Cafeteras ubicadas en los puntos de atencion al Cliente y Para colocar en Cafeteras para empleados 
ocds-lcuori-11836,ocds-lcuori-11836/3-contract,11836,HNL,24115.5,PAPEL BOND PARA USO EN LAS OFICINAS ADMINISTRATIVAS DEL IHMA TEGUCIGALPA
ocds-lcuori-11837,ocds-lcuori-11837/3-contract,11837,HNL,6118.2300000000005,Compra de 50 resmas de papel bond base 20 color blanco tama?o carta y 20 resmas de papel bond base 20 color blanco tama?o oficio para uso en oficinas de Estacion Central Recklinghausen y Sub Estacion Mayor Luis Rigoberto Vallejo
ocds-lcuori-11842,ocds-lcuori-11842/3-contract,11842,HNL,849.9995,Prueba
ocds-lcuori-11843,ocds-lcuori-11843/3-contract,11843,HNL,1866.654,Compra de 4 resmas de papel bond base 20 color blanco tama?o legal 10 cuadernos unicos y 6 cajas de boligrafos color negro para uso en Estacion Central Recklinghausen y Sub Estacion Mayor Luis Rigoberto Vallejo
ocds-lcuori-11840,ocds-lcuori-11840/3-contract,11840,HNL,413.586,teclado para computadora incluye mouse
ocds-lcuori-11841,ocds-lcuori-11841/3-contract,11841,HNL,7705.0,CARTUCHOS DE TINTA NO 140
ocds-lcuori-11848,ocds-lcuori-11848/3-contract,11848,HNL,59947.0,Equipo de Computo
ocds-lcuori-11845,ocds-lcuori-11845/3-contract,11845,HNL,7801.6,compra de toner para impresora HP 35 A y 85A que seran utilizados en los Departamentos de Admision y Logistica y Suministros de este Centro Hospitalario
ocds-lcuori-11847,ocds-lcuori-11847/3-contract,11847,HNL,2127.5,dadad
ocds-lcuori-11852,ocds-lcuori-11852/3-contract,11852,HNL,65.48100000000001,SUMINISTROS DE OFICINA PARA USO EN LA DIRECCION DE TRANSPARENCIA
ocds-lcuori-11850,ocds-lcuori-11850/3-contract,11850,HNL,220.0,Agua purificada para el CURLP
ocds-lcuori-11854,ocds-lcuori-11854/3-contract,11854,HNL,792.12,SUMINISTROS DE UTILES DE OFICINA PARA USO EN LA DIRECCION DE TRANSPARENCIA DE LA SEFIN
ocds-lcuori-11855,ocds-lcuori-11855/3-contract,11855,HNL,3217.4700000000003,SUMINISTROS DE UTILES DE OFICINA PARA USO EN LA DIRECCION DE TRANSPARENCIA DE LA SEFIN
ocds-lcuori-11856,ocds-lcuori-11856/3-contract,11856,HNL,517.5,SUMINISTROS DE PRODUCTOS DE OFICINA PARA USO EN LA DIRECCION DE TRANSPARENCIA DE LA SEFIN
ocds-lcuori-11858,ocds-lcuori-11858/3-contract,11858,HNL,1737.362,COMPRA DE PRODUCTOS PARA ATENCION DE VISITAS EN REUNIONES OFICIALES DE LA SUB PROCURADURIA GENERAL
ocds-lcuori-11859,ocds-lcuori-11859/3-contract,11859,HNL,1233.7315,COMPRA DE DESECHABLES PARA USO EN LA GERENCIAY SALA DE VENTAS
ocds-lcuori-11860,ocds-lcuori-11860/3-contract,11860,HNL,11428.125,compra de papel base 20 tama?o carta  y resma de folder tamano oficio que seran utilizadas en el departamento de Almacen de este centro hospitalario
ocds-lcuori-11863,ocds-lcuori-11863/3-contract,11863,HNL,1493.229,CARTUCHO HP 670 AZUL
ocds-lcuori-11862,ocds-lcuori-11862/3-contract,11862,HNL,1373.1000000000001,CARTUCHO HP 670 MAGENTA
ocds-lcuori-11864,ocds-lcuori-11864/3-contract,11864,HNL,1373.1000000000001,CARTUCHO HP 670 AMARILLO
ocds-lcuori-11866,ocds-lcuori-11866/3-contract,11866,HNL,23057.5,LO ANTERIOR SERA UTILIZADO EN DIFERENTES AREAS DE ESTE CENTRO ASITENCIAL DURANTE EL  MES DE ENERO A?O DOS MIL DICEISES
ocds-lcuori-11867,ocds-lcuori-11867/3-contract,11867,HNL,100.28,Utiles de Oficina
ocds-lcuori-11868,ocds-lcuori-11868/3-contract,11868,HNL,2581.635,utiles de oficina
ocds-lcuori-11869,ocds-lcuori-11869/3-contract,11869,HNL,1036.564,utiles de oficina
ocds-lcuori-11870,ocds-lcuori-11870/3-contract,11870,HNL,223.33,utiles de oficina
