ocid,id,awards/0/id,awards/0/value/amount,awards/0/value/currency,awards/0/description
ocds-lcuori-174905,ocds-lcuori-174905/3-contract,174905,6637.6835,HNL,UTILES DE OFICINA Y ESCRITORIO DESTINADO PARA OFICINA REGIONAL DEL SUR
ocds-lcuori-174906,ocds-lcuori-174906/3-contract,174906,698.225,HNL,UTILES DE OFICINA Y ESCRITORIO DESTINADO PARA OFICINA REGIONAL DEL SUR
ocds-lcuori-174907,ocds-lcuori-174907/3-contract,174907,1681.7830000000001,HNL,UTILES DE OFICINA Y ESCRITORIO DESTINADO PARA OFICINA REGIONAL DEL SUR
ocds-lcuori-146041,ocds-lcuori-146041/4-contract,146041,8538.75,HNL,P 02 2019 OC 05 2019 COMPRA DE MATERIAL MEDICO
ocds-lcuori-171277,ocds-lcuori-171277/4-contract,171277,94.5,HNL,compra de insumos institucionales
ocds-lcuori-171337,ocds-lcuori-171337/4-contract,171337,20327.5,HNL,PARA USO EN ESTA DEPENDENCIA
ocds-lcuori-172639,ocds-lcuori-172639/3-contract,172639,61.525000000000006,HNL,Req 054 material de oficina Control de Proyecto
ocds-lcuori-172641,ocds-lcuori-172641/3-contract,172641,752.3530000000001,HNL,Req 054 material de oficina Control de Proyecto
ocds-lcuori-146739,ocds-lcuori-146739/3-contract,146739,49162.5,HNL,TIEMPO DE ENTREGA INMEDIATO SOLICITUD DE COMPRA REALIZADA POR EL LICENCIADO CECILIO OVIEDO COORDINADOR DE PROGRAMACIONES MEDIANTE MEMORANDO 183 SGSMYC 2019 DE FECHA 18 DE ENERO DEL 2019 DISPONIBILIDAD PRESUPUESTARIA AUTORIZADA POR EL LICENCIADO JOSE LORENZO COTO SUBGERENTE DE PRESUPUESTO MEDIANTE MEMORANDO 191 SGP IHSS 2019 DE FECHA 22 DE ENERO DEL 2019 AUTORIZADA SU COMPRA POR EL LICENCIADO EDWIN ORLANDO MEDINA GERENTE ADMINISTRATIVO Y FINANCIERO MEDIANTE MEMORANDO 799 GAYF 2019 DE FECHA 23 DE ENERO DEL 2019
ocds-lcuori-171623,ocds-lcuori-171623/3-contract,171623,20327.5,HNL,PARA USO EN ESTA DEPENDENCIA
ocds-lcuori-171624,ocds-lcuori-171624/3-contract,171624,1611.38,HNL,Suministro de anillos de encuadernacion varios solicitados por Unidad de Apoyo a las Comisiones Interinstitucionales de Justicia
ocds-lcuori-171626,ocds-lcuori-171626/4-contract,171626,150433.80000000002,HNL,ADQUISICION DE TINTA Y TONER PARA USO DE PROHECO
ocds-lcuori-171627,ocds-lcuori-171627/3-contract,171627,2645.0,HNL,compra de dos discos duros externos de 1T para uso de unidades de la direccion y coordinacion
ocds-lcuori-171637,ocds-lcuori-171637/3-contract,171637,494.04,HNL,EN ATENCION A SOLICITUD DEL AREA DE PROVEEDURIA PARA SUMINISTROS VARIOS PARA USO DEL PROGRAMA PRESIDENCIAL DE BECAS HONDURAS 
ocds-lcuori-171639,ocds-lcuori-171639/3-contract,171639,2153.7200000000003,HNL,SUMINISTRO DE GRAPAS DE ESTANDAR CAJA DE 5000 UNIDADES ENGRAPADORA ESTANDAR DE ACERO COLOR NEGRO CAPACIDAD HASTA 25 HOJAS TIJERA DE ACERO INOXIDABLE DE 8 DE LARGO PINZAS SUJETAPAPELES 25MM PAQUETE 12 UNIDADES CD R CAJA MOUSE CON CONEXION USB
ocds-lcuori-171644,ocds-lcuori-171644/3-contract,171644,17888.825,HNL,MATERIAL DE OFICINA DIPOL SOLPED 11300 ENTREGAR EN ALMACEN DE LA UNIDAD ADMINISTRATIVA ADJUNTAR A FACTURA COPIA DE ESTA OC Y CONSTANCIA SOLVENCIA FISCAL VIGENTE ORDEN DE COMPRA VALIDA POR 30 DIAS DESPUES DE RECIBIDA POR EL PROVEEDOR
ocds-lcuori-171645,ocds-lcuori-171645/3-contract,171645,938.4,HNL,EN ATENCION A SOLICITUD DEL AREA DEL DE PROVEEDURIA PARA EL SUMINISTRO DE AZUCAR PARA CONSUMO DEL PROGRAMA PRESIDNECIAL DE BECAS HONDURAS
ocds-lcuori-171647,ocds-lcuori-171647/3-contract,171647,70237.2625,HNL,MATERIAL DE OFICINA DIPOL SOLPED 11300 ENTREGAR EN ALMACEN DE LA UNIDAD ADMINISTRATIVA ADJUNTAR A FACTURA COPIA DE ESTA OC Y CONSTANCIA SOLVENCIA FISCAL VIGENTE ORDEN DE COMPRA VALIDA POR 30 DIAS DESPUES DE RECIBIDA POR EL PROVEEDOR
ocds-lcuori-171648,ocds-lcuori-171648/3-contract,171648,2482.1715,HNL,MOUSE PAD ERGONOMICO NOTAS ADHESIVAS CUATRO COLORES DE 100 PAGINAS PAQUETE NOTAS ADHESIVAS COLOR AMARILLO DE 100 PAGINAS PAQUETE NOTAS ADHESIVAS CINCO COLORES DE 100 PAGINAS PAQUETE  NOTAS ADHESIVAS COLOR AMARILLO DE 100 PAGINAS PAQUETE  PERFORADORA DE DOS ORIFICIOS METALICA CAPACIDAD HASTA 25 HOJAS RESALTADORES FLUORESCENTES GRUESOS AZUL  CAJA DE 12 UNIDADES  RESALTADORES FLUORESCENTES GRUESOS VERDE  CAJA DE 12 UNIDADES  RESALTADORES FLUORESCENTES GRUESOS NARANJA CAJA DE 12 UNIDADES QUITAGRAPAS METALICO DE UNAS
ocds-lcuori-171649,ocds-lcuori-171649/4-contract,171649,27352.175,HNL,COMPRA DE INSUMOS CONSUMIBLES PARA EVENTO DE RECREOVIAS DURANTE LOS DIAS 27 AL 31 DE MAYO DEL 2019 EN LAS DIFERENTES ESCUELAS DEL DISTRITO CENTRAL
ocds-lcuori-171650,ocds-lcuori-171650/3-contract,171650,161.0,HNL,EN ATENCION A SOLICITUD DEL AREA DE PROVEEDURIA PARA EL SUMINISTRO DE PRODUCTOS VARIOS USO DEL PROGRAMA PRESIDNECIAL D EBECAS HONDURAS 
ocds-lcuori-171651,ocds-lcuori-171651/3-contract,171651,38288.1,HNL,BASE HAM
