ocid,id,contracts/0/id,contracts/0/items/0/id,contracts/0/items/0/attributes/0/id,contracts/0/items/0/attributes/0/name,contracts/0/items/0/attributes/0/value
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,234365,541198,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,541199,650,Convenio Marco,ALIMENTOS Y BEBIDAS 2018
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,541200,650,Convenio Marco,ALIMENTOS Y BEBIDAS 2018
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,541201,650,Convenio Marco,ALIMENTOS Y BEBIDAS 2018
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,541202,650,Convenio Marco,ALIMENTOS Y BEBIDAS 2018
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,541203,650,Convenio Marco,ALIMENTOS Y BEBIDAS 2018
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,234367,541204,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,234368,541205,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234369,ocds-lcuori-234369/1-contract,234369,541206,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,234371,541207,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,234373,541208,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,234374,541209,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,234374,541210,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,541211,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,541212,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,541213,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,541214,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,234375,541215,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234376,ocds-lcuori-234376/1-contract,234376,541216,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,234377,541217,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,234377,541218,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,234377,541219,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234377,ocds-lcuori-234377/1-contract,234377,541220,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234378,ocds-lcuori-234378/1-contract,234378,541221,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,234379,541222,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,234379,541223,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234379,ocds-lcuori-234379/1-contract,234379,541224,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234387,ocds-lcuori-234387/1-contract,234387,541238,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,234388,541239,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,234388,541240,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,234388,541241,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234388,ocds-lcuori-234388/2-contract,234388,541242,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,234389,541243,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,234389,541244,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,234389,541245,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234389,ocds-lcuori-234389/1-contract,234389,541246,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541247,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541248,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541249,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541250,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541251,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541252,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234390,ocds-lcuori-234390/1-contract,234390,541253,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,234391,541254,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234391,ocds-lcuori-234391/1-contract,234391,541255,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,234392,541256,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,234392,541257,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234392,ocds-lcuori-234392/1-contract,234392,541258,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234393,ocds-lcuori-234393/1-contract,234393,541259,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541260,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541261,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541262,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541263,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541264,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541265,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541266,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234394,ocds-lcuori-234394/1-contract,234394,541267,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234395,ocds-lcuori-234395/1-contract,234395,541268,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234395,ocds-lcuori-234395/1-contract,234395,541269,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,234396,541270,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,234396,541271,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234396,ocds-lcuori-234396/1-contract,234396,541272,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,234398,541273,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,234398,541274,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,234398,541275,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234398,ocds-lcuori-234398/1-contract,234398,541276,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,234399,541277,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,234399,541278,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,234399,541279,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234399,ocds-lcuori-234399/1-contract,234399,541280,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234400,ocds-lcuori-234400/1-contract,234400,541281,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234401,ocds-lcuori-234401/1-contract,234401,541282,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234403,ocds-lcuori-234403/1-contract,234403,541283,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234404,ocds-lcuori-234404/1-contract,234404,541284,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234404,ocds-lcuori-234404/1-contract,234404,541285,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234404,ocds-lcuori-234404/1-contract,234404,541286,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
ocds-lcuori-234404,ocds-lcuori-234404/1-contract,234404,541287,610,Convenio Marco,CONVENIO MARCO DE MATERIAL MEDICO QUIRURGICO
ocds-lcuori-234409,ocds-lcuori-234409/1-contract,234409,541298,830,Convenio Marco,CATALOGO ELECTRONICO DE EMERGENCIA-PCM-005-2020 
