ocid,id,contracts/0/id,contracts/0/items/0/id,contracts/0/items/0/description,contracts/0/items/0/unit/name,contracts/0/items/0/unit/value/amount,contracts/0/items/0/unit/value/currency,contracts/0/items/0/classification/id,contracts/0/items/0/classification/scheme,contracts/0/items/0/classification/description,contracts/0/items/0/quantity
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,234365,541198,MONITOR DE SIGNOS VITALES DE 6 PARAMETROS ADULTO,Unidad,73000.0,HNL,42181904,UNSPSC,Monitor de signos vitales moviles de multipar?metro,5.0
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,541199,ESPECIAS EN BOTE DE 75 GR A 210 GR ALTA CALIDAD (ZONA 1),Unidad,23.8,HNL,50171550,UNSPSC,Especias o extractos,30.0
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,541200,SALSA DE AJO LIQUIDO BOTE DE 330 ML ALTA CALIDAD (ZONA 1),Unidad,23.9545,HNL,50171830,UNSPSC,Salsas para empapar o condimentar o para untar o marinar,30.0
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,541201,BOLSA DE LECHE MILEX CLASICA EN POLVO (2200 GRAMOS) ALTA CALIDAD (ZONA 1),Unidad,554.139,HNL,50131702,UNSPSC,Productos de mantequilla o leche en conserva,27.0
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,541202,PASTA DE TOMATE (200-235GRAMOS) ALTA CALIDAD (ZONA 1),Unidad,14.95,HNL,50171831,UNSPSC,Salsa para cocinar,48.0
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,541203,LECHE DESCREMADA EN POLVO BOLSA DE 350-460 G. MINIMO 6 MESES DE VENCIMIENTO 24 UNIDADES ALTA CALIDAD (ZONA 1),Caja,2392.0,HNL,50131702,UNSPSC,Productos de mantequilla o leche en conserva,4.0
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,234367,541204,MASCARILLAS N95,Caja,10637.5,HNL,42131602,UNSPSC,Mascarillas para el personal sanitario,7.0
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,234368,541205,MASCARILLA DESCARTABLE ,Caja,510.0,HNL,42131602,UNSPSC,Mascarillas para el personal sanitario,200.0
ocds-lcuori-234369,ocds-lcuori-234369/1-contract,234369,541206,"GUANTE DESCARTABLE TALLA M, CAJA, ZONA 1",Caja,85.905,HNL,42132205,UNSPSC,Guantes quir?rgicos,100.0
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,234371,541207,GUANTE DESCARTABLE TAMA?O SMALL/PEQUE?O,Caja,82.8,HNL,42295454,UNSPSC,Guantes   quir?rgicos,100.0
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,234373,541208,"GUANTE DESCARTABLE TALLA M, CAJA, ZONA 1",Caja,85.905,HNL,42132205,UNSPSC,Guantes quir?rgicos,100.0
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,234374,541209,"GUANTE DESCARTABLE TALLA S, CAJA, ZONA 6 ",Caja,82.8,HNL,42132205,UNSPSC,Guantes quir?rgicos,500.0
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,234374,541210,"GUANTE DESCARTABLE TALLA L, CAJA, ZONA 6 ",Caja,82.8,HNL,42132205,UNSPSC,Guantes quir?rgicos,500.0
