ocid,id,contracts/0/id,contracts/0/title,contracts/0/description,contracts/0/status,contracts/0/statusDetails,contracts/0/value/amount,contracts/0/value/currency,contracts/0/period/startDate,contracts/0/awardID,contracts/0/localProcurementCategory,contracts/0/buyer/id,contracts/0/buyer/name
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,234365,60-12-11-0155-2020,05 UNIDAD MONITOR DE SIGNOS VITALES DE 06 PARAMETROS,pending,Impreso,365000.0,HNL,2020-03-20T09:19:22-06:00,234365,goodsOrServices,lzlBXK-az8Qyd-ArxkKR,DIRECCION HOSPITAL DE ATLANTIDA
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,234366,60-1-103-0505-2020,ADQUISICION DE ALIMENTOS Y BEBIDAS PARA LOS PACIENTES Y EMPLEADOS DEL HOSPITAL SAN LORENZO,pending,Impreso,26679.988,HNL,2020-03-20T10:28:48-06:00,234366,goodsOrServices,lzlBXK-byP1K8-wrLGQK,Fundacion de Apoyo y Vigilancia Pro Mejoramiento Hospital San Lorenzo
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,234367,603-1-5-0460-2020,Una Mascarilla por persona,pending,Impreso,74462.5,HNL,2020-03-20T10:37:41-06:00,234367,goodsOrServices,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,234368,60-9-8-0168-2020,MATERIAL MEDICO ,pending,Impreso,102000.0,HNL,2020-03-20T10:41:24-06:00,234368,goodsOrServices,lzlBXK-OzGAKn-5zp8zA,DIRECCION HOSPITAL MANUEL DE JESUS SUBIRANA
ocds-lcuori-234369,ocds-lcuori-234369/1-contract,234369,,Guantes para los empleados,pending,Elaboracion OC,8590.5,HNL,2020-03-20T10:58:45-06:00,234369,goodsOrServices,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234370,ocds-lcuori-234370/1-contract,234370,603-1-5-0461-2020,Guantes para los empleados,pending,Elaboracion OC,,,2020-03-20T10:58:48-06:00,234370,goodsOrServices,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,234371,603-1-5-0462-2020,Guantes para los empleados,pending,Impreso,8280.0,HNL,2020-03-20T11:06:09-06:00,234371,goodsOrServices,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234372,ocds-lcuori-234372/1-contract,234372,,COMPRA QUE SERA PAGADA CON FONDOS NACIONALES SEGUN OBJETO DE GASTO 39510 AL PROVEEDOR AGENCIA MATAMOROS,pending,Impreso,,,2020-03-20T11:30:05-06:00,234372,goodsOrServices,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,234373,603-1-5-0463-2020,Guantes para Empleados,pending,Impreso,8590.5,HNL,2020-03-20T12:16:38-06:00,234373,goodsOrServices,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,234374,60-8-7-0177-2020,valor reservado para la compra de material medico quirurgico menor para consumo del hospital santa barbara integrado en el primer trimestre del a?o 2020,pending,Impreso,82800.0,HNL,2020-03-20T12:27:30-06:00,234374,goodsOrServices,lzlBXK-5zp8zA-xK3qzP,DIRECCION HOSPITAL DE SANTA BARBARA
