ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,lzlBXK-az8Qyd,lzlBXK,Secretaria de Salud
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,lzlBXK-az8Qyd-ArxkKR,lzlBXK-az8Qyd,GERENCIA ADMINISTRATIVA HOSPITAL DE ATLANTIDA
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,lzlBXK-byP1K8,lzlBXK,Secretaria de Salud
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,lzlBXK-byP1K8-wrLGQK,lzlBXK-byP1K8,GERENCIA CENTRAL
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,wrLvdy-byP1K8,wrLvdy,Instituto Nacional de Prevision del Magisterio
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,wrLvdy-byP1K8-by4Gzd,wrLvdy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,lzlBXK-OzGAKn,lzlBXK,Secretaria de Salud
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,lzlBXK-OzGAKn-5zp8zA,lzlBXK-OzGAKn,GERENCIA ADMIINISTRATIVA HOSPITAL MANUEL DE JESUS SUBIRANA
ocds-lcuori-234369,ocds-lcuori-234369/1-contract,wrLvdy-byP1K8,wrLvdy,Instituto Nacional de Prevision del Magisterio
ocds-lcuori-234369,ocds-lcuori-234369/1-contract,wrLvdy-byP1K8-by4Gzd,wrLvdy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-234370,ocds-lcuori-234370/1-contract,wrLvdy-byP1K8,wrLvdy,Instituto Nacional de Prevision del Magisterio
ocds-lcuori-234370,ocds-lcuori-234370/1-contract,wrLvdy-byP1K8-by4Gzd,wrLvdy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,wrLvdy-byP1K8,wrLvdy,Instituto Nacional de Prevision del Magisterio
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,wrLvdy-byP1K8-by4Gzd,wrLvdy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-234372,ocds-lcuori-234372/1-contract,lzlBXK-byQqyG,lzlBXK,Secretaria de Salud
ocds-lcuori-234372,ocds-lcuori-234372/1-contract,lzlBXK-byQqyG-qyVbya,lzlBXK-byQqyG,GERENCIA ADMINISTRATIVA HOSPITAL PUERTO CORTES
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,wrLvdy-byP1K8,wrLvdy,Instituto Nacional de Prevision del Magisterio
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,wrLvdy-byP1K8-by4Gzd,wrLvdy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,lzlBXK-5zp8zA,lzlBXK,Secretaria de Salud
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,lzlBXK-5zp8zA-xK3qzP,lzlBXK-5zp8zA,GERENCIA ADMINISTRATIVA HOSPITAL SANTA BARBARA
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,lzlBXK-PKJ7rO,lzlBXK,Secretaria de Salud
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,lzlBXK-PKJ7rO-5y2ZyN,lzlBXK-PKJ7rO,GERENCIA ADMINISTRATIVA HOSPITAL ANIBAL MURILLO ESCOBAR
ocds-lcuori-234376,ocds-lcuori-234376/1-contract,lzlBXK-wr13yl,lzlBXK,Secretaria de Salud
