ocid,id,parties/0/id,parties/0/name,parties/0/identifier/id,parties/0/identifier/scheme,parties/0/roles,parties/0/address/countryName,parties/0/address/streetAddress,parties/0/identifier/legalName,parties/0/contactPoint/name,parties/0/contactPoint/telephone,parties/0/contactPoint/email,parties/0/contactPoint/faxNumber
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,lzlBXK-az8Qyd,GERENCIA ADMINISTRATIVA HOSPITAL DE ATLANTIDA,lzlBXK-az8Qyd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,lzlBXK-az8Qyd-ArxkKR,DIRECCION HOSPITAL DE ATLANTIDA,lzlBXK-az8Qyd-ArxkKR,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,HN-RTN-08019013553050,Inversiones y Equipos S de R.L. de C.V.,08019013553050,HN-RTN,supplier,Honduras,"colonia  kenedy 5 ta entrada complejos bodega sismonFrancisco Morazan, Distrito Central",Inversiones y Equipos S de R.L. de C.V.,Jose Angel  Guerrero Aceituno,2228-5021,gaceituno@yahoo.com,-
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,lzlBXK-byP1K8,GERENCIA CENTRAL,lzlBXK-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,lzlBXK-byP1K8-wrLGQK,Fundacion de Apoyo y Vigilancia Pro Mejoramiento Hospital San Lorenzo,lzlBXK-byP1K8-wrLGQK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,HN-RTN-08029995001549,K-DIPROVA,08029995001549,HN-RTN,supplier,Honduras,"Col America calle principal contiguo a estadio Los Angeles centro comercial DiprovaFrancisco Morazan, Distrito Central",K DISTRIBUIDORA DE PRODUCTOS VARIOS S.A. DE C.V. ,Leonel Saleh Kafati Bichara,9500-1004,supermercadodiprova@kdiprova.com,-
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,wrLvdy,Instituto Nacional de Prevision del Magisterio,wrLvdy,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,wrLvdy-byP1K8,GERENCIA CENTRAL,wrLvdy-byP1K8,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO,wrLvdy-byP1K8-by4Gzd,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,HN-RTN-05029995001355,YIP SUPERMERCADOS SA DE CV,05029995001355,HN-RTN,supplier,Honduras,"Contiguo a la Camara Junior, ComayaguelaFrancisco Morazan, Distrito Central",YIP SUPERMERCADOS SA DE CV,Sun Wa  Yip Chou,2225-3557,s_yip@yahoo.com,-
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,lzlBXK,Secretaria de Salud,lzlBXK,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,lzlBXK-OzGAKn,GERENCIA ADMIINISTRATIVA HOSPITAL MANUEL DE JESUS SUBIRANA,lzlBXK-OzGAKn,X-HN-ONCAE-CE,buyer,,,,,,,
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,lzlBXK-OzGAKn-5zp8zA,DIRECCION HOSPITAL MANUEL DE JESUS SUBIRANA,lzlBXK-OzGAKn-5zp8zA,X-HN-ONCAE-CE,buyer,,,,,,,
