ocid,id,publisher/name,tag,tender/id,tender/localProcurementCategory,tender/procurementMethod,tender/procurementMethodDetails,language,initiationType,date,buyer/id,buyer/name
ocds-lcuori-234365,ocds-lcuori-234365/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234365,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T09:19:22-06:00,lzlBXK-az8Qyd-ArxkKR,DIRECCION HOSPITAL DE ATLANTIDA
ocds-lcuori-234366,ocds-lcuori-234366/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234366,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T10:28:48-06:00,lzlBXK-byP1K8-wrLGQK,Fundacion de Apoyo y Vigilancia Pro Mejoramiento Hospital San Lorenzo
ocds-lcuori-234367,ocds-lcuori-234367/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234367,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T10:37:41-06:00,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234368,ocds-lcuori-234368/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234368,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T10:41:24-06:00,lzlBXK-OzGAKn-5zp8zA,DIRECCION HOSPITAL MANUEL DE JESUS SUBIRANA
ocds-lcuori-234369,ocds-lcuori-234369/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234369,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T10:58:45-06:00,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234370,ocds-lcuori-234370/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234370,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T10:58:48-06:00,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234371,ocds-lcuori-234371/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234371,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T11:06:09-06:00,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234372,ocds-lcuori-234372/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234372,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T11:30:05-06:00,lzlBXK-byQqyG-qyVbya,DIRECCION HOSPITAL DE PUERTO CORTES
ocds-lcuori-234373,ocds-lcuori-234373/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234373,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T12:16:38-06:00,wrLvdy-byP1K8-by4Gzd,ADMINISTRATIVO
ocds-lcuori-234374,ocds-lcuori-234374/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234374,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T12:27:30-06:00,lzlBXK-5zp8zA-xK3qzP,DIRECCION HOSPITAL DE SANTA BARBARA
ocds-lcuori-234375,ocds-lcuori-234375/1-contract,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,contract,234375,goodsOrServices,open,Convenio Marco,es,tender,2020-03-20T12:27:58-06:00,lzlBXK-PKJ7rO-5y2ZyN,DIRECCION HOSPITAL ANIBAL MURILLO ESCOBAR
