ocid,id,awards/0/id,awards/0/documents/0/id,awards/0/documents/0/documentType,awards/0/documents/0/description,awards/0/documents/0/datePublished,awards/0/documents/0/format,awards/0/documents/0/url,awards/0/documents/0/title
ocds-lcuori-WRz5vG-N°04-2014-2,ocds-lcuori-WRz5vG-N°04-2014-2/4,WRz5vG-N°04-2014-2,52813,awardNotice,Resolucion de la Adjudicacion,2014-10-15T09:56:20.590000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic654N%C2%B004-2014803-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-2LAakL-39-2014-2,ocds-lcuori-2LAakL-39-2014-2/4,2LAakL-39-2014-2,52186,awardNotice,Resolucion de la Adjudicacion,2014-10-01T12:16:49.977000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Lic8139-2014803-ResoluciondelaAdjudicacion.xlsx,Resolucion de la Adjudicacion
ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2,ocds-lcuori-orvPDG-LP-026-ONCAE-2014-2/3,orvPDG-LP-026-ONCAE-2014-2,53078,awardNotice,Resolucion de la Adjudicacion,2014-10-20T16:36:41.643000-06:00,image/tiff,http://h1.honducompras.gob.hn/Docs/Lic95LP-026-ONCAE-2014803-ResoluciondelaAdjudicacion.tif,Resolucion de la Adjudicacion
ocds-lcuori-grxXor-LIC-025-HAME-2014-2,ocds-lcuori-grxXor-LIC-025-HAME-2014-2/3,grxXor-LIC-025-HAME-2014-2,51347,awardNotice,Resolucion de la Adjudicacion,2014-09-08T09:16:15.067000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic109LIC-025-HAME-2014803-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-JLKQxR-LP. 016-14-2,ocds-lcuori-JLKQxR-LP. 016-14-2/3,JLKQxR-LP. 016-14-2,51642,awardNotice,Resolucion de la Adjudicacion,2014-09-17T13:54:28.213000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic79LP.%20016-14802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-7G3Myr-lp-025-hsp-1242-2014-2,ocds-lcuori-7G3Myr-lp-025-hsp-1242-2014-2/3,7G3Myr-lp-025-hsp-1242-2014-2,50981,awardNotice,Resolucion de la Adjudicacion,2014-08-26T16:55:52.797000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic96lp-025-hsp-1242-2014802-ResoluciondelaAdjudicacion.docx,Resolucion de la Adjudicacion
ocds-lcuori-7G3Myr-lp-025-hsp-1242-2014-2,ocds-lcuori-7G3Myr-lp-025-hsp-1242-2014-2/3,7G3Myr-lp-025-hsp-1242-2014-2,50982,awardNotice,Resolucion de la Adjudicacion,2014-08-26T16:55:55.917000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic96lp-025-hsp-1242-2014802-ResoluciondelaAdjudicacion.docx,Resolucion de la Adjudicacion
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014-2,57191,awardNotice,Resolucion de la Adjudicacion,2015-02-23T15:18:58.210000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic737SE-D-LPN-004-2014811-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-2LAakL-62-2014-2,ocds-lcuori-2LAakL-62-2014-2/3,2LAakL-62-2014-2,54944,awardNotice,Resolucion de la Adjudicacion,2014-12-08T15:11:41.700000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Lic8162-2014803-ResoluciondelaAdjudicacion.xlsx,Resolucion de la Adjudicacion
ocds-lcuori-2LAakL-42-2014-2,ocds-lcuori-2LAakL-42-2014-2/3,2LAakL-42-2014-2,52917,awardNotice,Resolucion de la Adjudicacion,2014-10-17T12:08:12.277000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Lic8142-2014803-ResoluciondelaAdjudicacion.xlsx,Resolucion de la Adjudicacion
ocds-lcuori-wrVn3r-LP-34-2014-2,ocds-lcuori-wrVn3r-LP-34-2014-2/3,wrVn3r-LP-34-2014-2,51898,awardNotice,Resolucion de la Adjudicacion,2014-09-24T15:05:48.420000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic99LP-34-2014803-ResoluciondelaAdjudicacion.doc,Resolucion de la Adjudicacion
ocds-lcuori-Er6dMG-PROMEF-BM-LPN-001-2014-2,ocds-lcuori-Er6dMG-PROMEF-BM-LPN-001-2014-2/4,Er6dMG-PROMEF-BM-LPN-001-2014-2,61629,awardNotice,Resolucion de la Adjudicacion,2015-06-09T16:09:21.337000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic663PROMEF-BM-LPN-001-2014805-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-2LA2EG-SE-D-LPN-003-2014 -2,ocds-lcuori-2LA2EG-SE-D-LPN-003-2014 -2/4,2LA2EG-SE-D-LPN-003-2014 -2,57257,awardNotice,Resolucion de la Adjudicacion,2015-02-24T11:49:41.033000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic737SE-D-LPN-003-2014%20807-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-kG17Xr-07-2014-2,ocds-lcuori-kG17Xr-07-2014-2/3,kG17Xr-07-2014-2,53933,awardNotice,Resolucion de la Adjudicacion,2014-11-12T15:05:10.017000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic62607-2014807-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-2LmqDL-LPrNO-29-FM-40-AMDC-2014-2,ocds-lcuori-2LmqDL-LPrNO-29-FM-40-AMDC-2014-2/3,2LmqDL-LPrNO-29-FM-40-AMDC-2014-2,54995,awardNotice,Resolucion de la Adjudicacion,2014-12-09T14:53:35.300000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic221LPrNO-29-FM-40-AMDC-2014804-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-orvPDG-LP-027-ONCAE-2014-2,ocds-lcuori-orvPDG-LP-027-ONCAE-2014-2/3,orvPDG-LP-027-ONCAE-2014-2,51417,awardNotice,Resolucion de la Adjudicacion,2014-09-09T11:48:45.540000-06:00,image/tiff,http://h1.honducompras.gob.hn/Docs/Lic95LP-027-ONCAE-2014803-ResoluciondelaAdjudicacion.tif,Resolucion de la Adjudicacion
ocds-lcuori-grxq2L-LPN-DEI-DA-012-2014-2,ocds-lcuori-grxq2L-LPN-DEI-DA-012-2014-2/3,grxq2L-LPN-DEI-DA-012-2014-2,59200,awardNotice,Resolucion de la Adjudicacion,2015-04-10T14:14:44.757000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic709LPN-DEI-DA-012-2014804-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-lRo9xL-LP-15-2014-2,ocds-lcuori-lRo9xL-LP-15-2014-2/3,lRo9xL-LP-15-2014-2,51818,awardNotice,Resolucion de la Adjudicacion,2014-09-23T10:06:40.120000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic101LP-15-2014802-ResoluciondelaAdjudicacion.doc,Resolucion de la Adjudicacion
ocds-lcuori-mGEvMR-LPRIV-09-2014-2,ocds-lcuori-mGEvMR-LPRIV-09-2014-2/3,mGEvMR-LPRIV-09-2014-2,52865,awardNotice,Resolucion de la Adjudicacion,2014-10-16T11:43:19.067000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic86LPRIV-09-2014802-ResoluciondelaAdjudicacion.JPG,Resolucion de la Adjudicacion
ocds-lcuori-yRlaDr-08-2014-2,ocds-lcuori-yRlaDr-08-2014-2/3,yRlaDr-08-2014-2,51223,awardNotice,Resolucion de la Adjudicacion,2014-09-04T14:22:36.207000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic7608-2014802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-1Ra6lr-LPN-001-2014-2,ocds-lcuori-1Ra6lr-LPN-001-2014-2/3,1Ra6lr-LPN-001-2014-2,54343,awardNotice,Resolucion de la Adjudicacion,2014-11-20T10:06:19.997000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic47LPN-001-2014803-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-orvovL-LPN-UNAH-SEAPI-No.2-2014-LAB-GENETICOS-2,ocds-lcuori-orvovL-LPN-UNAH-SEAPI-No.2-2014-LAB-GENETICOS-2/4,orvovL-LPN-UNAH-SEAPI-No.2-2014-LAB-GENETICOS-2,56646,awardNotice,Resolucion de la Adjudicacion,2015-02-12T11:15:09.960000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic151LPN-UNAH-SEAPI-No.2-2014-LAB-GENETICOS807-ResoluciondelaAdjudicacion.pdf,Resolucion de la Adjudicacion
ocds-lcuori-PLe6mG-HSR- LP-020-2014-2,ocds-lcuori-PLe6mG-HSR- LP-020-2014-2/3,PLe6mG-HSR- LP-020-2014-2,51271,awardNotice,Resolucion de la Adjudicacion,2014-09-05T12:11:46.067000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic85HSR-%20LP-020-2014802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
ocds-lcuori-PLe6mG-HSR- LP-022-2014-2,ocds-lcuori-PLe6mG-HSR- LP-022-2014-2/3,PLe6mG-HSR- LP-022-2014-2,51278,awardNotice,Resolucion de la Adjudicacion,2014-09-05T13:13:50.123000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Lic85HSR-%20LP-022-2014802-ResoluciondelaAdjudicacion.jpg,Resolucion de la Adjudicacion
