ocid,id,contracts/0/id,contracts/0/documents/0/id,contracts/0/documents/0/documentType,contracts/0/documents/0/description,contracts/0/documents/0/datePublished,contracts/0/documents/0/format,contracts/0/documents/0/url,contracts/0/documents/0/title
ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2,ocds-lcuori-2LA2EG-SE-D-LPN-004-2014-2/3,2LA2EG-SE-D-LPN-004-2014,591-2LA2EG-SE-D-LPN-004-2014-12,contractSigned,Contrato u Orden de Compra,2015-02-23T15:23:23.040000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con737SE-D-LPN-004-20141200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-2LA2EG-SE-D-LPN-003-2014 -2,ocds-lcuori-2LA2EG-SE-D-LPN-003-2014 -2/4,2LA2EG-SE-D-LPN-003-2014,592-2LA2EG-SE-D-LPN-003-2014-12,contractSigned,Contrato u Orden de Compra,2015-02-24T11:52:39.937000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con737SE-D-LPN-003-20141200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-ZGqW9r-LPN-007-IPM-2014-2,ocds-lcuori-ZGqW9r-LPN-007-IPM-2014-2/4,ZGqW9r-ADN-007-IPM-2014,7114-ZGqW9r-ADN-007-IPM-2014-15,contractAnnexe,Anexos al Contrato,2016-09-30T10:27:51.973000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con662ADN-007-IPM-20141500-AnexosalContrato.pdf,Anexos al Contrato
ocds-lcuori-7rBxpG-LPública No.22-2014-2,ocds-lcuori-7rBxpG-LPública No.22-2014-2/3,7rBxpG-008-2015,1019-7rBxpG-008-2015-12,contractSigned,Contrato u Orden de Compra,2016-04-06T10:47:02.617000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123008-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-1RaMPR-IC-UMBRAL-001-2014-2,ocds-lcuori-1RaMPR-IC-UMBRAL-001-2014-2/3,1RaMPR-MCA-THP-01-2015,34394-1RaMPR-MCA-THP-01-2015-12,contractSigned,Contrato u Orden de Compra,2018-07-04T10:47:09.613000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-01-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-2LA2EG-SE-D-LPN-002-2014 -2,ocds-lcuori-2LA2EG-SE-D-LPN-002-2014 -2/4,2LA2EG-SE-D-LPN-002-2014,588-2LA2EG-SE-D-LPN-002-2014-12,contractSigned,Contrato u Orden de Compra,2014-11-26T16:43:44.227000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con737SE-D-LPN-002-20141200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-kR2paL-10-02-2014-1,ocds-lcuori-kR2paL-10-02-2014-1/3,kR2paL-10-02-14,587-kR2paL-10-02-14-12,contractSigned,Contrato u Orden de Compra,2014-07-24T00:50:13.640000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Con60210-02-141200-ContratouOrdendeCompra.xls,Contrato u Orden de Compra
ocds-lcuori-ZGqW9r-CM-037-IPM-2018-1,ocds-lcuori-ZGqW9r-CM-037-IPM-2018-1/3,ZGqW9r-CM-037-IPM-2018,42596-ZGqW9r-CM-037-IPM-2018-12,contractSigned,Contrato u Orden de Compra,2018-11-21T11:00:41.280000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con662CM-037-IPM-20181200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-Zr5B9L-C-0005-2014-1,ocds-lcuori-Zr5B9L-C-0005-2014-1/3,Zr5B9L-0008-2014,582-Zr5B9L-0008-2014-12,contractSigned,Contrato u Orden de Compra,2014-05-07T13:16:15.327000-06:00,image/jpeg,http://h1.honducompras.gob.hn/Docs/Con720008-20141200-ContratouOrdendeCompra.jpg,Contrato u Orden de Compra
ocds-lcuori-Zr5B9L-C-0006-2014-1,ocds-lcuori-Zr5B9L-C-0006-2014-1/3,Zr5B9L-0009,583-Zr5B9L-0009-12,contractSigned,Contrato u Orden de Compra,2014-05-07T13:23:29.277000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con7200091200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-2LA2EG-SE-D-RECON-CI-001-2014 -2,ocds-lcuori-2LA2EG-SE-D-RECON-CI-001-2014 -2/3,2LA2EG-SE-D-RECON-CI-001-2014 ,584-2LA2EG-SE-D-RECON-CI-001-2014 -12,contractSigned,Contrato u Orden de Compra,2014-05-20T17:06:37.997000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con737SE-D-RECON-CI-001-2014%201200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-7rBxpG-LPública No.12-2014-2,ocds-lcuori-7rBxpG-LPública No.12-2014-2/3,7rBxpG-012-2016,1007-7rBxpG-012-2016-12,contractSigned,Contrato u Orden de Compra,2016-04-06T10:03:09.177000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con123012-20161200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-2LA2EG-SE-D-SCI-003-2014-2,ocds-lcuori-2LA2EG-SE-D-SCI-003-2014-2/3,2LA2EG-SE-D-SCI-003-2014 ,589-2LA2EG-SE-D-SCI-003-2014 -12,contractSigned,Contrato u Orden de Compra,2015-01-13T16:25:25.660000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con737SE-D-SCI-003-2014%201200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
ocds-lcuori-vGZWNR-LPN-003-2014-2,ocds-lcuori-vGZWNR-LPN-003-2014-2/3,vGZWNR-004-2015,39334-vGZWNR-004-2015-12,contractSigned,Contrato u Orden de Compra,2018-09-28T13:32:06.250000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Con117004-20151200-ContratouOrdendeCompra.pdf,Contrato u Orden de Compra
