ocid,id,tender/id,tender/documents/0/id,tender/documents/0/documentType,tender/documents/0/description,tender/documents/0/datePublished,tender/documents/0/format,tender/documents/0/url,tender/documents/0/title
ocds-lcuori-WRz5vG-N°04-2014-2,ocds-lcuori-WRz5vG-N°04-2014-2/4,WRz5vG-N°04-2014-2,50868,tenderNotice,Aviso de Prensa,2014-08-25T11:06:17.520000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic654%20N%C2%B0%2004-2014100-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-WRz5vG-N°04-2014-2,ocds-lcuori-WRz5vG-N°04-2014-2/4,WRz5vG-N°04-2014-2,50869,biddingDocuments,Pliego o Terminos de Referencia,2014-08-25T11:07:44.087000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic654%20N%C2%B0%2004-2014201-PliegooTerminosdeReferencia.pdf,Pliego o Terminos de Referencia
ocds-lcuori-WRz5vG-N°04-2014-2,ocds-lcuori-WRz5vG-N°04-2014-2/4,WRz5vG-N°04-2014-2,51456,x_recordOpeningTendersReceived,Acta de Recepcion y Apertura de Ofertas,2014-09-11T10:57:04.130000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic654N%C2%B004-2014602-ActadeRecepcionyAperturadeOfertas.pdf,Acta de Recepcion y Apertura de Ofertas
ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2/3,wrV3LP-LPR-FHIS-30-2014-2,56019,tenderNotice,Aviso de Prensa,2015-01-27T13:20:58.090000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-30-2014104-AvisodePrensa.pdf,Aviso de Prensa
ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2/3,wrV3LP-LPR-FHIS-30-2014-2,54472,biddingDocuments,Pliego o Terminos de Referencia,2014-11-21T16:35:00.207000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-30-2014200-PliegooTerminosdeReferencia.docx,Pliego o Terminos de Referencia
ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2/3,wrV3LP-LPR-FHIS-30-2014-2,54473,x_solicitationDocumentAnnexe,Anexos al Pliego ,2014-11-21T16:35:21.513000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-30-20141401-AnexosalPliego.pdf,Anexos al Pliego 
ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2/3,wrV3LP-LPR-FHIS-30-2014-2,54474,x_solicitationDocumentAnnexe,Anexos al Pliego ,2014-11-21T16:35:59.610000-06:00,application/pdf,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-30-20141402-AnexosalPliego.pdf,Anexos al Pliego 
ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2,ocds-lcuori-wrV3LP-LPR-FHIS-30-2014-2/3,wrV3LP-LPR-FHIS-30-2014-2,54475,x_solicitationDocumentAnnexe,Anexos al Pliego ,2014-11-21T16:36:13.593000-06:00,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,http://h1.honducompras.gob.hn/Docs/Lic11LPR-FHIS-30-20141403-AnexosalPliego.xlsx,Anexos al Pliego 
ocds-lcuori-2LAakL-39-2014-2,ocds-lcuori-2LAakL-39-2014-2/4,2LAakL-39-2014-2,51579,tenderNotice,Aviso de Prensa,2014-09-16T11:44:26.423000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8139-2014100-AvisodePrensa.docx,Aviso de Prensa
ocds-lcuori-2LAakL-39-2014-2,ocds-lcuori-2LAakL-39-2014-2/4,2LAakL-39-2014-2,51580,biddingDocuments,Pliego o Terminos de Referencia,2014-09-16T11:44:40.690000-06:00,application/vnd.openxmlformats-officedocument.wordprocessingml.document,http://h1.honducompras.gob.hn/Docs/Lic8139-2014201-PliegooTerminosdeReferencia.doc,Pliego o Terminos de Referencia
