ocid,id,contracts/0/id,contracts/0/documents/0/id,contracts/0/documents/0/url,contracts/0/documents/0/documentType,contracts/0/documents/0/format,contracts/0/documents/0/description,contracts/0/documents/0/title,contracts/0/documents/0/datePublished
ocds-lcuori-7rBxpG-CDirecta No.23-2014-2,ocds-lcuori-7rBxpG-CDirecta No.23-2014-2/3,7rBxpG-012-2015,1022-7rBxpG-012-2015-12,http://h1.honducompras.gob.hn/Docs/Con123012-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-04-06T11:09:09.640000-06:00
ocds-lcuori-Nrd4Yr-GSGD-001-2015-1,ocds-lcuori-Nrd4Yr-GSGD-001-2015-1/3,Nrd4Yr-GSGD-001-2015,678-Nrd4Yr-GSGD-001-2015-12,http://h1.honducompras.gob.hn/Docs/Con757GSGD-001-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-03-02T15:59:14.693000-06:00
ocds-lcuori-Nrd4Yr-GSGD-001-2015-1,ocds-lcuori-Nrd4Yr-GSGD-001-2015-1/3,Nrd4Yr-GSGD-001-2015,679-Nrd4Yr-GSGD-001-2015-12,http://h1.honducompras.gob.hn/Docs/Con757GSGD-001-20151201-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-03-02T15:59:58.140000-06:00
ocds-lcuori-Nrd4Yr-GSGD-001-2015-1,ocds-lcuori-Nrd4Yr-GSGD-001-2015-1/3,Nrd4Yr-GSGD-001-2015,680-Nrd4Yr-GSGD-001-2015-12,http://h1.honducompras.gob.hn/Docs/Con757GSGD-001-20151202-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-03-02T16:02:46.223000-06:00
ocds-lcuori-NLP4qL-LPN-03-2015-2,ocds-lcuori-NLP4qL-LPN-03-2015-2/4,NLP4qL-CB-004-2015,2914-NLP4qL-CB-004-2015-12,http://h1.honducompras.gob.hn/Docs/Con222CB-004-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2016-07-01T11:25:08.260000-06:00
ocds-lcuori-1RaMPR-IC-UMBRAL-01-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-01-2015-2/4,1RaMPR-MCA-THP-02-2015,34362-1RaMPR-MCA-THP-02-2015-12,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-02-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2018-07-03T16:39:09.507000-06:00
ocds-lcuori-MLQmwL-CP-003-2015-2,ocds-lcuori-MLQmwL-CP-003-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-021-2015,14311-MLQmwL-SCGG-UAP-14590-CI-021-2015-12,http://h1.honducompras.gob.hn/Docs/Con749SCGG-UAP-14590-CI-021-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-02-23T16:49:13.810000-06:00
ocds-lcuori-MLQmwL-CPN-004-2015-2,ocds-lcuori-MLQmwL-CPN-004-2015-2/4,MLQmwL-SCGG-UAP-13908-CI-022-2015,13410-MLQmwL-SCGG-UAP-13908-CI-022-2015-12,http://h1.honducompras.gob.hn/Docs/Con749SCGG-UAP-13908-CI-022-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-01-31T14:35:01.777000-06:00
ocds-lcuori-MLQmwL-CPI-003-2015-2,ocds-lcuori-MLQmwL-CPI-003-2015-2/4,MLQmwL-SCGG-UAP-13908-CI-023-2015,14103-MLQmwL-SCGG-UAP-13908-CI-023-2015-12,http://h1.honducompras.gob.hn/Docs/Con749SCGG-UAP-13908-CI-023-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2017-02-14T10:39:44.670000-06:00
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-10-2015,34307-1RaMPR-MCA-THP-10-2015-12,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-10-20151200-ContratouOrdendeCompra.pdf,contractSigned,application/pdf,Contrato u Orden de Compra,Contrato u Orden de Compra,2018-07-03T12:01:55.357000-06:00
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-10-2015,34308-1RaMPR-MCA-THP-10-2015-15,http://h1.honducompras.gob.hn/Docs/Con703MCA-THP-10-20151501-AnexosalContrato.pdf,contractAnnexe,application/pdf,Anexos al Contrato,Anexos al Contrato,2018-07-03T12:02:59.517000-06:00
