ocid,id,contracts/0/id,contracts/0/dateSigned,contracts/0/description,contracts/0/buyer/id,contracts/0/buyer/name,contracts/0/localProcurementCategory,contracts/0/awardID,contracts/0/title,contracts/0/value/currency,contracts/0/value/amount
ocds-lcuori-7rBxpG-CDirecta No.23-2014-2,ocds-lcuori-7rBxpG-CDirecta No.23-2014-2/3,7rBxpG-012-2015,2015-03-05T00:00:00-06:00,Contratación del soporte de mantenimiento y actualización de los productos para seiscientas (600) licencias de la solución de software antivirus y antispyware corporativo por el período comprendido del 27 de enero al 31 de diciembre de 2015.,7rBxpG-vGZwRM,Unidad Central,goodsOrServices,7rBxpG-CDirecta No.23-2014-2,012-2015,HNL,447580.0
ocds-lcuori-Nrd4Yr-GSGD-001-2015-1,ocds-lcuori-Nrd4Yr-GSGD-001-2015-1/3,Nrd4Yr-GSGD-001-2015,2015-07-24T00:00:00-06:00,31100 ALIEMENTOS Y BEBIDAS PARA PERSONAS ,Nrd4Yr-gLk5AR,Gabinete Sectorial de Gobernabilidad y Descentralización,goodsOrServices,Nrd4Yr-GSGD-001-2015-1,GSGD-001-2015,HNL,16532.4
ocds-lcuori-NLP4qL-LPN-03-2015-2,ocds-lcuori-NLP4qL-LPN-03-2015-2/4,NLP4qL-CB-004-2015,2015-06-30T00:00:00-06:00,"Adquisición de Equipo de de Laboratorio y Reactivos para el Proyecto Piloto Regional Siguatepque, SANAA y ERSAPS ",NLP4qL-NLPKrv,Unidad Administradora de Proyectos,goodsOrServices,NLP4qL-LPN-03-2015-2,CB-004-2015,HNL,380136.15
ocds-lcuori-1RaMPR-IC-UMBRAL-01-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-01-2015-2/4,1RaMPR-MCA-THP-02-2015,2015-03-09T00:00:00-06:00,"Enlace MCA Honduras - Secretaría de Finanzas 
Coordinación y seguimiento de acciones de mejora en la gestión de las finanzas públicas y rendición de cuentas
Proceso No. IC-UMBRAL-01-2015
",1RaMPR-7G3A5r,Adquisiciones MCA Honduras,consultingServices,1RaMPR-IC-UMBRAL-01-2015-2,MCA-THP-02-2015,USD,42000.0
ocds-lcuori-2LAdQr-COT-FV-RVP-021-2015-2,ocds-lcuori-2LAdQr-COT-FV-RVP-021-2015-2/3,2LAdQr-F V - 213-2015,2015-12-11T00:00:00-06:00,"CONSULTORIA PARA LA SUPERVISION DEL PROYECTO
OPERATIVO DE BACHEO ASFALTICO ",2LAdQr-JLKQxR,Fondo Vial,consultingServices,2LAdQr-COT-FV-RVP-021-2015-2,F V - 213-2015,HNL,453349.41
ocds-lcuori-MLQmwL-CP-003-2015-2,ocds-lcuori-MLQmwL-CP-003-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-021-2015,2015-03-16T00:00:00-06:00,24900,MLQmwL-gLn5gr,Gerencia Administrativa,consultingServices,MLQmwL-CP-003-2015-2,SCGG-UAP-14590-CI-021-2015,HNL,570000.0
ocds-lcuori-MLQmwL-CPN-004-2015-2,ocds-lcuori-MLQmwL-CPN-004-2015-2/4,MLQmwL-SCGG-UAP-13908-CI-022-2015,2015-04-06T00:00:00-06:00,24900,MLQmwL-gLn5gr,Gerencia Administrativa,consultingServices,MLQmwL-CPN-004-2015-2,SCGG-UAP-13908-CI-022-2015,HNL,120000.0
ocds-lcuori-MLQmwL-CPI-003-2015-2,ocds-lcuori-MLQmwL-CPI-003-2015-2/4,MLQmwL-SCGG-UAP-13908-CI-023-2015,2015-06-03T00:00:00-06:00,24900,MLQmwL-gLn5gr,Gerencia Administrativa,consultingServices,MLQmwL-CPI-003-2015-2,SCGG-UAP-13908-CI-023-2015,USD,67550.0
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-10-2015,2015-08-03T00:00:00-06:00,"Contratación de cuatro (4) consultores para brindar servicios de Atención de la Mesa de Ayuda del Sistema de Información de Contratación y Adquisiciones del Estado de Honduras
HONDUCOMPRAS
",1RaMPR-7G3A5r,Adquisiciones MCA Honduras,consultingServices,1RaMPR-IC-UMBRAL-05-2015-2,MCA-THP-10-2015,HNL,120000.0
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-11-2015,2015-08-03T00:00:00-06:00,"Contratación de cuatro (4) consultores para brindar servicios de Atención de la Mesa de Ayuda del Sistema de Información de Contratación y Adquisiciones del Estado de Honduras
HONDUCOMPRAS
",1RaMPR-7G3A5r,Adquisiciones MCA Honduras,consultingServices,1RaMPR-IC-UMBRAL-05-2015-2,MCA-THP-11-2015,HNL,120000.0
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-12-2015,2015-08-03T00:00:00-06:00,"Contratación de cuatro (4) consultores para brindar servicios de Atención de la Mesa de Ayuda del Sistema de Información de Contratación y Adquisiciones del Estado de Honduras
HONDUCOMPRAS
",1RaMPR-7G3A5r,Adquisiciones MCA Honduras,consultingServices,1RaMPR-IC-UMBRAL-05-2015-2,MCA-THP-12-2015,HNL,120000.0
ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2,ocds-lcuori-1RaMPR-IC-UMBRAL-05-2015-2/4,1RaMPR-MCA-THP-13-2015,2015-08-03T00:00:00-06:00,"Contratación de cuatro (4) consultores para brindar servicios de Atención de la Mesa de Ayuda del Sistema de Información de Contratación y Adquisiciones del Estado de Honduras
HONDUCOMPRAS
",1RaMPR-7G3A5r,Adquisiciones MCA Honduras,consultingServices,1RaMPR-IC-UMBRAL-05-2015-2,MCA-THP-13-2015,HNL,120000.0
ocds-lcuori-MLQmwL-CPN-008-2015-2,ocds-lcuori-MLQmwL-CPN-008-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-032-2015,2015-08-18T00:00:00-06:00,24900,MLQmwL-gLn5gr,Gerencia Administrativa,consultingServices,MLQmwL-CPN-008-2015-2,SCGG-UAP-14590-CI-032-2015,HNL,219785.0
ocds-lcuori-MLQmwL-CPN-012-2015-2,ocds-lcuori-MLQmwL-CPN-012-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-035-2015,2015-09-14T00:00:00-06:00,24900,MLQmwL-gLn5gr,Gerencia Administrativa,consultingServices,MLQmwL-CPN-012-2015-2,SCGG-UAP-14590-CI-035-2015,USD,30000.0
ocds-lcuori-MLQmwL-CPN-019-2015-2,ocds-lcuori-MLQmwL-CPN-019-2015-2/4,MLQmwL-SCGG-UAP-14590-CI-033-2015,2015-08-20T00:00:00-06:00,24900,MLQmwL-gLn5gr,Gerencia Administrativa,consultingServices,MLQmwL-CPN-019-2015-2,SCGG-UAP-14590-CI-033-2015,HNL,1318848.0
ocds-lcuori-0rwYG8-SOLPED-20001504-1,ocds-lcuori-0rwYG8-SOLPED-20001504-1/4,0rwYG8-PEDIDO-4200001339,2016-12-29T00:00:00-06:00,"Solicitante: Departamento de Servicios Generales DSG-500-2015.
Atendiendo a solicitud de la Seccion de Transporte y como parte  del mantenimiento que debe ser dado a la flota vehicular de la empresa. Se procede a gestionar el cambio de aceite de once (11) vehiculos cuyo registro es: 321, 116, 703, 433, 588, 598, 483, 565, 786, 787 y 426.
INFORMACION: Leocadio Gamez 2239-6181/84",0rwYG8-PLemLJ,Unidad Central,goodsOrServices,0rwYG8-SOLPED-20001504-1,PEDIDO-4200001339,HNL,18492.0
