ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-vGZWNR-30006440-1,ocds-lcuori-vGZWNR-30006440-1/3,vGZWNR-orvxDG,orvxDG,Instituto Hondureño de Seguridad Social
ocds-lcuori-vGZWNR-30006441-1,ocds-lcuori-vGZWNR-30006441-1/3,vGZWNR-orvxDG,orvxDG,Instituto Hondureño de Seguridad Social
ocds-lcuori-vGZWNR-40000933-1,ocds-lcuori-vGZWNR-40000933-1/3,vGZWNR-orvxDG,orvxDG,Instituto Hondureño de Seguridad Social
ocds-lcuori-MrMPYR-127-2015-1,ocds-lcuori-MrMPYR-127-2015-1/3,MrMPYR-grxELe,grxELe,Comisión Nacional de Bancos y Seguros
ocds-lcuori-mGE7er-CM-084-DINAF-2015-1,ocds-lcuori-mGE7er-CM-084-DINAF-2015-1/3,mGE7er-2LA41r,2LA41r,"Dirección de Niñez, Adolescencia y Familia"
ocds-lcuori-yRlZYL-SEP-GA-40-2015-1,ocds-lcuori-yRlZYL-SEP-GA-40-2015-1/3,yRlZYL-lRo2G5,lRo2G5,Secretaría de Estado del Despacho Presidencial
ocds-lcuori-1RaElR-0021-2015-hsbi-1,ocds-lcuori-1RaElR-0021-2015-hsbi-1/3,1RaElR-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-JLKAbR-OC-50-IHAH-2015-1,ocds-lcuori-JLKAbR-OC-50-IHAH-2015-1/3,JLKAbR-kR0E5r,kR0E5r,Instituto Hondureño de Antropología e Historia
ocds-lcuori-MLQmwL-CM-098-2015-1,ocds-lcuori-MLQmwL-CM-098-2015-1/3,MLQmwL-gLn5gr,gLn5gr,Secretaría de Coordinación General del Gobierno
ocds-lcuori-XRbOkr-CS-CSJ-2015-0462-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0462-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-orvDGM-25-04-15-1,ocds-lcuori-orvDGM-25-04-15-1/3,orvDGM-jRDVLk,jRDVLk,Servicio Autónomo Nacional de Acueductos y Alcantarillados
ocds-lcuori-orvDGM-26-04-15-1,ocds-lcuori-orvDGM-26-04-15-1/3,orvDGM-jRDVLk,jRDVLk,Servicio Autónomo Nacional de Acueductos y Alcantarillados
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00374-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00374-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-XRbOkr-CS-CSJ-2015-0468-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0468-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-KLg9wR-061-15-1,ocds-lcuori-KLg9wR-061-15-1/3,KLg9wR-8L4pPL,8L4pPL,Instituto Nacional de Jubilaciones y Pensiones de los Empleados Públicos
ocds-lcuori-mGEMGM-DCS-48-2015-1,ocds-lcuori-mGEMGM-DCS-48-2015-1/3,mGEMGM-NLPKrv,NLPKrv,Secretaria de Finanzas
ocds-lcuori-mGEMGM-DCS-028-2015-UR-1,ocds-lcuori-mGEMGM-DCS-028-2015-UR-1/3,mGEMGM-NLPKrv,NLPKrv,Secretaria de Finanzas
ocds-lcuori-mGEvMR-HPMM 141-2015-1,ocds-lcuori-mGEvMR-HPMM 141-2015-1/3,mGEvMR-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-grxy3L-018-2015-2,ocds-lcuori-grxy3L-018-2015-2/3,grxy3L-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-grxq2L-CM-177-2015-1,ocds-lcuori-grxq2L-CM-177-2015-1/3,grxq2L-grxEyL,grxEyL,Direccion Ejecutiva de Ingresos
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00369-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00369-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-DRWQ0L-HONDUCOR-DC-00370-2015-1,ocds-lcuori-DRWQ0L-HONDUCOR-DC-00370-2015-1/3,DRWQ0L-kR2lqL,kR2lqL,Empresa Nacional de Correos de Honduras
ocds-lcuori-grxq2L-CM-184-2015-1,ocds-lcuori-grxq2L-CM-184-2015-1/3,grxq2L-grxEyL,grxEyL,Direccion Ejecutiva de Ingresos
ocds-lcuori-grxq2L-CM-186-2015-1,ocds-lcuori-grxq2L-CM-186-2015-1/3,grxq2L-grxEyL,grxEyL,Direccion Ejecutiva de Ingresos
ocds-lcuori-grxq2L-CM-187-2015-1,ocds-lcuori-grxq2L-CM-187-2015-1/3,grxq2L-grxEyL,grxEyL,Direccion Ejecutiva de Ingresos
ocds-lcuori-8L4YaG-CC-283-2015-INA-1,ocds-lcuori-8L4YaG-CC-283-2015-INA-1/3,8L4YaG-KLgNr8,KLgNr8,Instituto Nacional Agrario
ocds-lcuori-vGZWNR-10004940-1-1,ocds-lcuori-vGZWNR-10004940-1-1/3,vGZWNR-orvxDG,orvxDG,Instituto Hondureño de Seguridad Social
ocds-lcuori-XRbOkr-CS-CSJ-2015-0470-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0470-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-jRDYor-CM-170-SEDIS-2015-1,ocds-lcuori-jRDYor-CM-170-SEDIS-2015-1/3,jRDYor-ERpA0r,ERpA0r,Secretaria de Desarrollo e Inclusión Social
ocds-lcuori-DL9kwR-CC-5655-TSC-2015-1,ocds-lcuori-DL9kwR-CC-5655-TSC-2015-1/3,DL9kwR-yRlaDr,yRlaDr,Tribunal Superior de Cuentas
ocds-lcuori-orvDGM-28-04-15-1,ocds-lcuori-orvDGM-28-04-15-1/3,orvDGM-jRDVLk,jRDVLk,Servicio Autónomo Nacional de Acueductos y Alcantarillados
ocds-lcuori-KLgDwG-CM-IHT-042-2015-1,ocds-lcuori-KLgDwG-CM-IHT-042-2015-1/3,KLgDwG-2LmVGK,2LmVGK,Secretaria de Turismo
ocds-lcuori-MrMPYR-074-2015-1,ocds-lcuori-MrMPYR-074-2015-1/3,MrMPYR-grxELe,grxELe,Comisión Nacional de Bancos y Seguros
ocds-lcuori-XRbOkr-CS-CSJ-2015-0472-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0472-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-Zr56vL-M-00058-1,ocds-lcuori-Zr56vL-M-00058-1/4,Zr56vL-jRDdVR,jRDdVR,Instituto Nacional de Formación Profesional
ocds-lcuori-orvPvG-CM-HEAC-58-2015-1,ocds-lcuori-orvPvG-CM-HEAC-58-2015-1/3,orvPvG-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-Zr5B9L-C-0314-2015-PE-0224-2015-1,ocds-lcuori-Zr5B9L-C-0314-2015-PE-0224-2015-1/3,Zr5B9L-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-Er65BR-IAIP-CE-19-2015-1,ocds-lcuori-Er65BR-IAIP-CE-19-2015-1/3,Er65BR-MrMYQr,MrMYQr,Instituto de Acceso a la Información Pública
ocds-lcuori-4LOk7L-EI-006-2015-2,ocds-lcuori-4LOk7L-EI-006-2015-2/3,4LOk7L-4LOWLg,4LOWLg,Instituto Nacional de Estadística
ocds-lcuori-jRDA5r-Solicitud 379 A-1,ocds-lcuori-jRDA5r-Solicitud 379 A-1/3,jRDA5r-MLQ77R,MLQ77R,Heroico y Benemérito Cuerpo de Bomberos de Honduras
ocds-lcuori-0rwm9G-C-20150069-1,ocds-lcuori-0rwm9G-C-20150069-1/3,0rwm9G-WRzEbG,WRzEbG,Banco Nacional de Desarrollo Agrícola
ocds-lcuori-MLQPmr-CM-045-PGR-2015-1,ocds-lcuori-MLQPmr-CM-045-PGR-2015-1/3,MLQPmr-gLnPqR,gLnPqR,Procuraduría General de la República
ocds-lcuori-orvDGM-31-04-15-1,ocds-lcuori-orvDGM-31-04-15-1/3,orvDGM-jRDVLk,jRDVLk,Servicio Autónomo Nacional de Acueductos y Alcantarillados
ocds-lcuori-MLQmwL-CM-100-2015-1,ocds-lcuori-MLQmwL-CM-100-2015-1/3,MLQmwL-gLn5gr,gLn5gr,Secretaría de Coordinación General del Gobierno
ocds-lcuori-Zr5B9L-C-0521-2015-PE-0378-2015-1,ocds-lcuori-Zr5B9L-C-0521-2015-PE-0378-2015-1/3,Zr5B9L-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-XRbOkr-CS-CSJ-2015-0473-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0473-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
ocds-lcuori-Zr5B9L-C-0525-2015-PE-0154-2015-1,ocds-lcuori-Zr5B9L-C-0525-2015-PE-0154-2015-1/3,Zr5B9L-mrYzL9,mrYzL9,Secretaria de Salud Pública
ocds-lcuori-DL9kwR-CC-5659-TSC-2015-1,ocds-lcuori-DL9kwR-CC-5659-TSC-2015-1/3,DL9kwR-yRlaDr,yRlaDr,Tribunal Superior de Cuentas
ocds-lcuori-KLg68r-CM-008-CDPC-2015-1,ocds-lcuori-KLg68r-CM-008-CDPC-2015-1/3,KLg68r-oLjo2G,oLjo2G,Comision para la Defensa y Promocion de la Competencia
ocds-lcuori-jRDA5r-Sol icitud 569 A-1,ocds-lcuori-jRDA5r-Sol icitud 569 A-1/3,jRDA5r-MLQ77R,MLQ77R,Heroico y Benemérito Cuerpo de Bomberos de Honduras
ocds-lcuori-vGZWNR-50000526-1-1,ocds-lcuori-vGZWNR-50000526-1-1/3,vGZWNR-orvxDG,orvxDG,Instituto Hondureño de Seguridad Social
ocds-lcuori-orvovL-UNAH-SEAF-OC-1802-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1802-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-MrMPYR-077-2015-1,ocds-lcuori-MrMPYR-077-2015-1/3,MrMPYR-grxELe,grxELe,Comisión Nacional de Bancos y Seguros
ocds-lcuori-orvovL-UNAH-SEAF-OC-1806-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1806-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-orvovL-UNAH-SEAF-OC-1810-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1810-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-mGE7er-CM-121-DINAF-2015-1,ocds-lcuori-mGE7er-CM-121-DINAF-2015-1/3,mGE7er-2LA41r,2LA41r,"Dirección de Niñez, Adolescencia y Familia"
ocds-lcuori-orvovL-UNAH-SEAF-OC-1813-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1813-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-DL9kwR-CC-5660-TSC-2015-1,ocds-lcuori-DL9kwR-CC-5660-TSC-2015-1/3,DL9kwR-yRlaDr,yRlaDr,Tribunal Superior de Cuentas
ocds-lcuori-orvovL-UNAH-SEAF-OC-1819-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1819-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-NLPAVG-2015-039-FN-INAM-1,ocds-lcuori-NLPAVG-2015-039-FN-INAM-1/3,NLPAVG-ERpqPr,ERpqPr,Instituto Nacional de la Mujer
ocds-lcuori-orvovL-UNAH-SEAF-OC-1823-2015-1,ocds-lcuori-orvovL-UNAH-SEAF-OC-1823-2015-1/3,orvovL-PGJALo,PGJALo,Universidad Nacional Autónoma de Honduras
ocds-lcuori-XRbOkr-CS-CSJ-2015-0476-1,ocds-lcuori-XRbOkr-CS-CSJ-2015-0476-1/3,XRbOkr-gRNyG6,gRNyG6,Poder Judicial
