ocid,id,tender/id,tender/documents/0/id,tender/documents/0/url,tender/documents/0/documentType,tender/documents/0/format,tender/documents/0/description,tender/documents/0/title,tender/documents/0/datePublished
ocds-lcuori-grxy3L-018-2015-2,ocds-lcuori-grxy3L-018-2015-2/3,grxy3L-018-2015-2,59876,http://h1.honducompras.gob.hn/Docs/Lic609018-2015100-AvisodePrensa.docx,tenderNotice,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Aviso de Prensa,Aviso de Prensa,2015-04-28T15:11:26.983000-06:00
ocds-lcuori-grxy3L-018-2015-2,ocds-lcuori-grxy3L-018-2015-2/3,grxy3L-018-2015-2,60637,http://h1.honducompras.gob.hn/Docs/Lic609018-2015601-ActadeRecepcionyAperturadeOfertas.jpg,x_recordOpeningTendersReceived,image/jpeg,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-05-17T18:07:38.890000-06:00
ocds-lcuori-7GXmzR-LPN-001-2015 -2,ocds-lcuori-7GXmzR-LPN-001-2015 -2/4,7GXmzR-LPN-001-2015 -2,60038,http://h1.honducompras.gob.hn/Docs/Lic759LPN-001-2015%20100-AvisodePrensa.pdf,tenderNotice,application/pdf,Aviso de Prensa,Aviso de Prensa,2015-05-04T17:19:45.300000-06:00
ocds-lcuori-7GXmzR-LPN-001-2015 -2,ocds-lcuori-7GXmzR-LPN-001-2015 -2/4,7GXmzR-LPN-001-2015 -2,60173,http://h1.honducompras.gob.hn/Docs/Lic759LPN-001-2015%20201-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-05-05T16:27:35.860000-06:00
ocds-lcuori-7GXmzR-LPN-001-2015 -2,ocds-lcuori-7GXmzR-LPN-001-2015 -2/4,7GXmzR-LPN-001-2015 -2,60601,http://h1.honducompras.gob.hn/Docs/Lic759LPN-001-2015%20503-Aclaratoria.pdf,clarifications,application/pdf,Aclaratoria,Aclaratoria,2015-05-15T16:11:37.740000-06:00
ocds-lcuori-7GXmzR-LPN-001-2015 -2,ocds-lcuori-7GXmzR-LPN-001-2015 -2/4,7GXmzR-LPN-001-2015 -2,60753,http://h1.honducompras.gob.hn/Docs/Lic759LPN-001-2015%20604-ActadeRecepcionyAperturadeOfertas.pdf,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-05-20T17:57:24.340000-06:00
ocds-lcuori-7GXmzR-LPN-001-2015 -2,ocds-lcuori-7GXmzR-LPN-001-2015 -2/4,7GXmzR-LPN-001-2015 -2,60174,http://h1.honducompras.gob.hn/Docs/Lic759LPN-001-2015%201402-AnexosalPliego.pdf,x_solicitationDocumentAnnexe,application/pdf,Anexos al Pliego ,Anexos al Pliego ,2015-05-05T16:31:29.333000-06:00
ocds-lcuori-jRDkQG-HMCR-207-2015-2,ocds-lcuori-jRDkQG-HMCR-207-2015-2/4,jRDkQG-HMCR-207-2015-2,60127,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-207-2015101-AvisodePrensa.xlsx,tenderNotice,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Aviso de Prensa,Aviso de Prensa,2015-05-05T09:50:40.323000-06:00
ocds-lcuori-jRDkQG-HMCR-207-2015-2,ocds-lcuori-jRDkQG-HMCR-207-2015-2/4,jRDkQG-HMCR-207-2015-2,60126,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-207-2015200-PliegooTerminosdeReferencia.docx,biddingDocuments,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-05-05T09:50:28.820000-06:00
ocds-lcuori-jRDkQG-HMCR-207-2015-2,ocds-lcuori-jRDkQG-HMCR-207-2015-2/4,jRDkQG-HMCR-207-2015-2,62395,http://h1.honducompras.gob.hn/Docs/Lic104HMCR-207-2015602-ActadeRecepcionyAperturadeOfertas.pdf,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-06-22T08:39:56.373000-06:00
ocds-lcuori-MrMagr-LP-001-2015-2,ocds-lcuori-MrMagr-LP-001-2015-2/3,MrMagr-LP-001-2015-2,57326,http://h1.honducompras.gob.hn/Docs/Lic84LP-001-2015200-PliegooTerminosdeReferencia.odt,biddingDocuments,application/vnd.oasis.opendocument.text,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-02-25T14:47:16.277000-06:00
ocds-lcuori-MrMagr-LP-001-2015-2,ocds-lcuori-MrMagr-LP-001-2015-2/3,MrMagr-LP-001-2015-2,57330,http://h1.honducompras.gob.hn/Docs/Lic84LP-001-2015601-ActadeRecepcionyAperturadeOfertas.PDF,x_recordOpeningTendersReceived,application/pdf,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-02-25T15:00:59.250000-06:00
ocds-lcuori-4LOxWG-LP27-2015-2,ocds-lcuori-4LOxWG-LP27-2015-2/4,4LOxWG-LP27-2015-2,57192,http://h1.honducompras.gob.hn/Docs/Lic83LP27-2015200-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-02-23T15:28:20.440000-06:00
ocds-lcuori-4LOxWG-LP27-2015-2,ocds-lcuori-4LOxWG-LP27-2015-2/4,4LOxWG-LP27-2015-2,57485,http://h1.honducompras.gob.hn/Docs/Lic83LP27-2015601-ActadeRecepcionyAperturadeOfertas.jpg,x_recordOpeningTendersReceived,image/jpeg,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-02-27T08:50:19.190000-06:00
ocds-lcuori-4LOxWG-LP28-2015-2,ocds-lcuori-4LOxWG-LP28-2015-2/4,4LOxWG-LP28-2015-2,57129,http://h1.honducompras.gob.hn/Docs/Lic83LP28-2015200-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-02-23T10:22:11.713000-06:00
ocds-lcuori-4LOxWG-LP28-2015-2,ocds-lcuori-4LOxWG-LP28-2015-2/4,4LOxWG-LP28-2015-2,57598,http://h1.honducompras.gob.hn/Docs/Lic83LP28-2015601-ActadeRecepcionyAperturadeOfertas.jpg,x_recordOpeningTendersReceived,image/jpeg,Acta de Recepcion y Apertura de Ofertas,Acta de Recepcion y Apertura de Ofertas,2015-03-03T09:05:12.080000-06:00
ocds-lcuori-4LOxWG-LP29-2015-2,ocds-lcuori-4LOxWG-LP29-2015-2/4,4LOxWG-LP29-2015-2,57132,http://h1.honducompras.gob.hn/Docs/Lic83LP29-2015200-PliegooTerminosdeReferencia.pdf,biddingDocuments,application/pdf,Pliego o Terminos de Referencia,Pliego o Terminos de Referencia,2015-02-23T10:23:20.107000-06:00
