ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/value/amount,tender/participationFees/0/type
ocds-lcuori-orvOoL-N° 10-2016-HEU-ILH-2,ocds-lcuori-orvOoL-N° 10-2016-HEU-ILH-2/3,orvOoL-N° 10-2016-HEU-ILH-2,orvOoL-N° 10-2016-HEU-ILH-2,500.0,document
ocds-lcuori-1RaEMR-HJMG-LP-007-2016-2,ocds-lcuori-1RaEMR-HJMG-LP-007-2016-2/3,1RaEMR-HJMG-LP-007-2016-2,1RaEMR-HJMG-LP-007-2016-2,540000.0,document
ocds-lcuori-1RaEMR-HJMG-LP-006-2016-2,ocds-lcuori-1RaEMR-HJMG-LP-006-2016-2/3,1RaEMR-HJMG-LP-006-2016-2,1RaEMR-HJMG-LP-006-2016-2,540000.0,document
ocds-lcuori-1RaEMR-HJMG-LP-008-2016-2,ocds-lcuori-1RaEMR-HJMG-LP-008-2016-2/3,1RaEMR-HJMG-LP-008-2016-2,1RaEMR-HJMG-LP-008-2016-2,540000.0,document
ocds-lcuori-1RaEMR-HJMG-LP-009-2016-2,ocds-lcuori-1RaEMR-HJMG-LP-009-2016-2/3,1RaEMR-HJMG-LP-009-2016-2,1RaEMR-HJMG-LP-009-2016-2,540000.0,document
ocds-lcuori-2LmqDL-LPrNO-52-AMDC-70-2016-2,ocds-lcuori-2LmqDL-LPrNO-52-AMDC-70-2016-2/3,2LmqDL-LPrNO-52-AMDC-70-2016-2,2LmqDL-LPrNO-52-AMDC-70-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-64-AMDC-86-2016-2,ocds-lcuori-2LmqDL-LPrNO-64-AMDC-86-2016-2/3,2LmqDL-LPrNO-64-AMDC-86-2016-2,2LmqDL-LPrNO-64-AMDC-86-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPuNBS-02-AMDC-65-2016-2,ocds-lcuori-2LmqDL-LPuNBS-02-AMDC-65-2016-2/3,2LmqDL-LPuNBS-02-AMDC-65-2016-2,2LmqDL-LPuNBS-02-AMDC-65-2016-2,500.0,document
ocds-lcuori-mrY1dr-LPN-SEDS-004-2016-2,ocds-lcuori-mrY1dr-LPN-SEDS-004-2016-2/3,mrY1dr-LPN-SEDS-004-2016-2,mrY1dr-LPN-SEDS-004-2016-2,2000.0,document
ocds-lcuori-KLg9wR-LPN-001-2016-DA-2,ocds-lcuori-KLg9wR-LPN-001-2016-DA-2/3,KLg9wR-LPN-001-2016-DA-2,KLg9wR-LPN-001-2016-DA-2,500.0,document
ocds-lcuori-2LmqDL-LPrNO-70-AMDC-95-2016-2,ocds-lcuori-2LmqDL-LPrNO-70-AMDC-95-2016-2/3,2LmqDL-LPrNO-70-AMDC-95-2016-2,2LmqDL-LPrNO-70-AMDC-95-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-73-AMDC-98-2016-2,ocds-lcuori-2LmqDL-LPrNO-73-AMDC-98-2016-2/3,2LmqDL-LPrNO-73-AMDC-98-2016-2,2LmqDL-LPrNO-73-AMDC-98-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-75-AMDC-100-2016-2,ocds-lcuori-2LmqDL-LPrNO-75-AMDC-100-2016-2/3,2LmqDL-LPrNO-75-AMDC-100-2016-2,2LmqDL-LPrNO-75-AMDC-100-2016-2,200.0,document
ocds-lcuori-7G3Myr-LP-1211-HSP-2016-2,ocds-lcuori-7G3Myr-LP-1211-HSP-2016-2/3,7G3Myr-LP-1211-HSP-2016-2,7G3Myr-LP-1211-HSP-2016-2,385206.3,document
ocds-lcuori-7rBxpG-LPública No.32-2016-2,ocds-lcuori-7rBxpG-LPública No.32-2016-2/3,7rBxpG-LPública No.32-2016-2,7rBxpG-LPública No.32-2016-2,1200.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-48-2016 2º Proceso-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-48-2016 2º Proceso-2/3,wrV3LP-LPR-IDECOAS-FHIS-48-2016 2º Proceso-2,wrV3LP-LPR-IDECOAS-FHIS-48-2016 2º Proceso-2,300.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-130-2016-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-130-2016-2/3,wrV3LP-LPR-IDECOAS-FHIS-130-2016-2,wrV3LP-LPR-IDECOAS-FHIS-130-2016-2,300.0,document
ocds-lcuori-2LmqDL-LPrNO-106-AMDC-134-2016-2,ocds-lcuori-2LmqDL-LPrNO-106-AMDC-134-2016-2/3,2LmqDL-LPrNO-106-AMDC-134-2016-2,2LmqDL-LPrNO-106-AMDC-134-2016-2,200.0,document
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-08-2016-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-08-2016-2/3,wrV3LP-LPR-IDECOAS-FHIS-08-2016-2,wrV3LP-LPR-IDECOAS-FHIS-08-2016-2,300.0,document
ocds-lcuori-wrV3LP-COT-IDECOAS-FHIS-03-2016-2,ocds-lcuori-wrV3LP-COT-IDECOAS-FHIS-03-2016-2/3,wrV3LP-COT-IDECOAS-FHIS-03-2016-2,wrV3LP-COT-IDECOAS-FHIS-03-2016-2,300.0,document
ocds-lcuori-2LmqDL-LpRNO-115-AMDC-145-2016-2,ocds-lcuori-2LmqDL-LpRNO-115-AMDC-145-2016-2/3,2LmqDL-LpRNO-115-AMDC-145-2016-2,2LmqDL-LpRNO-115-AMDC-145-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-291-AMDC-357-2016-2,ocds-lcuori-2LmqDL-LPrNO-291-AMDC-357-2016-2/3,2LmqDL-LPrNO-291-AMDC-357-2016-2,2LmqDL-LPrNO-291-AMDC-357-2016-2,200.0,document
ocds-lcuori-2LmqDL-CPIS-02-AMDC-BCIE-2016-2,ocds-lcuori-2LmqDL-CPIS-02-AMDC-BCIE-2016-2/3,2LmqDL-CPIS-02-AMDC-BCIE-2016-2,2LmqDL-CPIS-02-AMDC-BCIE-2016-2,500.0,document
