ocid,id,awards/0/id,awards/0/documents/0/id,awards/0/documents/0/url,awards/0/documents/0/documentType,awards/0/documents/0/format,awards/0/documents/0/description,awards/0/documents/0/title,awards/0/documents/0/datePublished
ocds-lcuori-gRNDyL-001-03-2017-2,ocds-lcuori-gRNDyL-001-03-2017-2/3,gRNDyL-001-03-2017-2,97230,http://h1.honducompras.gob.hn/Docs/Lic74001-03-2017806-ResoluciondelaAdjudicacion.xlsx,awardNotice,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-04-04T14:35:57.023000-06:00
ocds-lcuori-0rwm9G-LPN-002-2017_CONTRATAR_SERVICIOS_DE_TRASLADO_DE_C-2,ocds-lcuori-0rwm9G-LPN-002-2017_CONTRATAR_SERVICIOS_DE_TRASLADO_DE_C-2/3,0rwm9G-LPN-002-2017_CONTRATAR_SERVICIOS_DE_TRASLADO_DE_C-2,102550,http://h1.honducompras.gob.hn/Docs/Lic178LPN-002-2017_CONTRATAR_SERVICIOS_DE_TRASLADO_DE_C805-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-07-21T11:40:02.373000-06:00
ocds-lcuori-WRzbRe-LPR No. 071-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No. 071-DGC-UATSV-2017 -2/3,WRzbRe-LPR No. 071-DGC-UATSV-2017 -2,104210,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.%20071-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-08-23T15:00:09.583000-06:00
ocds-lcuori-gRNDyL-006-03-2017-2,ocds-lcuori-gRNDyL-006-03-2017-2/3,gRNDyL-006-03-2017-2,97233,http://h1.honducompras.gob.hn/Docs/Lic74006-03-2017807-ResoluciondelaAdjudicacion.xlsx,awardNotice,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-04-04T14:37:53.330000-06:00
ocds-lcuori-orvkNL-LPN No.02-2017-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.02-2017-SEAF-UNAH-2/3,orvkNL-LPN No.02-2017-SEAF-UNAH-2,101374,http://h1.honducompras.gob.hn/Docs/Lic907LPN%20No.02-2017-SEAF-UNAH803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-06-29T14:01:38.487000-06:00
ocds-lcuori-WRzbRe-LPR No. 066-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No. 066-DGC-UATSV-2017 -2/3,WRzbRe-LPR No. 066-DGC-UATSV-2017 -2,104191,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.%20066-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-08-23T14:18:46.833000-06:00
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-22-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-22-2017-2/3,wrV3LP-LPR-IDECOAS-FHIS-22-2017-2,101440,http://h1.honducompras.gob.hn/Docs/Lic11LPR-IDECOAS-FHIS-22-2017807-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-07-03T10:01:09.970000-06:00
ocds-lcuori-2LAdQr-COT-FV-SI-01-2017-2,ocds-lcuori-2LAdQr-COT-FV-SI-01-2017-2/4,2LAdQr-COT-FV-SI-01-2017-2,102631,http://h1.honducompras.gob.hn/Docs/Lic237COT-FV-SI-01-2017803-ResoluciondelaAdjudicacion.pdf,awardNotice,application/pdf,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-07-24T11:17:59.367000-06:00
ocds-lcuori-WRzbRe-LPR No. 068-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No. 068-DGC-UATSV-2017 -2/3,WRzbRe-LPR No. 068-DGC-UATSV-2017 -2,104204,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.%20068-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-08-23T14:35:29.557000-06:00
ocds-lcuori-WRzbRe-LPR No. 069-DGC-UATSV-2017 -2,ocds-lcuori-WRzbRe-LPR No. 069-DGC-UATSV-2017 -2/3,WRzbRe-LPR No. 069-DGC-UATSV-2017 -2,104206,http://h1.honducompras.gob.hn/Docs/Lic10LPR%20No.%20069-DGC-UATSV-2017%20803-ResoluciondelaAdjudicacion.jpg,awardNotice,image/jpeg,Resolucion de la Adjudicacion,Resolucion de la Adjudicacion,2017-08-23T14:46:13.810000-06:00
