ocid,id,contracts/0/id,contracts/0/guarantees/0/id,contracts/0/guarantees/0/guaranteeType,contracts/0/guarantees/0/guarantor/id,contracts/0/guarantees/0/guarantor/name
ocds-lcuori-orvkNL-LPN No.02-2017-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.02-2017-SEAF-UNAH-2/3,orvkNL-37-2017-SEAF-UNAH,orvkNL-37-2017-SEAF-UNAH,suretyBond,GZGqwr0,Banco HSBC Honduras S.A 
ocds-lcuori-MLQW8R-02-2017-2,ocds-lcuori-MLQW8R-02-2017-2/3,MLQW8R-1207-2017,MLQW8R-1207-2017,check,GmrYzL9,Banco Financiera Centroamericana S.A.
ocds-lcuori-yRl6pL-CP 003 SSIS BID 3371 2017-1,ocds-lcuori-yRl6pL-CP 003 SSIS BID 3371 2017-1/3,yRl6pL-002 SSIS PRAF BID 3371 2017,yRl6pL-002 SSIS PRAF BID 3371 2017,suretyBond,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-yRlaDr-LP. 004-2017-RSDCH-2,ocds-lcuori-yRlaDr-LP. 004-2017-RSDCH-2/3,yRlaDr-06018,yRlaDr-06018,check,GEr6JrN,Banco La Fise S.A.
ocds-lcuori-7GXmzR-LP-001-2017_CCIVS-2,ocds-lcuori-7GXmzR-LP-001-2017_CCIVS-2/3,7GXmzR-P2-001-2017 CCIVS,7GXmzR-P2-001-2017 CCIVS,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-WRz0xL-LPN-SAR-001-2017-2,ocds-lcuori-WRz0xL-LPN-SAR-001-2017-2/3,WRz0xL-SAR-DNAF-028-2017,WRz0xL-SAR-DNAF-028-2017,suretyBond,GPR85r9,"DAVIVIENDA HONDURAS, S. A. "
ocds-lcuori-wrVn3r-LP03-HSI-2017-2,ocds-lcuori-wrVn3r-LP03-HSI-2017-2/3,wrVn3r-03-17,wrVn3r-03-17,check,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-wrVn3r-LP04-HSI-2017-2,ocds-lcuori-wrVn3r-LP04-HSI-2017-2/3,wrVn3r-04-17,wrVn3r-04-17,check,G1RalG6,Banco Atlántida S.A.
ocds-lcuori-vGZKAR-CM-AMD-UTM-002-2017-1,ocds-lcuori-vGZKAR-CM-AMD-UTM-002-2017-1/3,vGZKAR-UTM CONT.-00032-2017,vGZKAR-UTM CONT.-00032-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-orvkNL-LPN No.05-2017-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.05-2017-SEAF-UNAH-2/3,orvkNL-45-2017-SEAF-UNAH,orvkNL-45-2017-SEAF-UNAH,suretyBond,GmrYzL9,Banco Financiera Centroamericana S.A.
ocds-lcuori-Zr5mWr-CPN No. 02-2017-SEAPI-UNAH-2,ocds-lcuori-Zr5mWr-CPN No. 02-2017-SEAPI-UNAH-2/3,Zr5mWr-CS-04-2017-SEAPI-UNAH,Zr5mWr-CS-04-2017-SEAPI-UNAH,suretyBond,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-MLQnAG-LPri-HGS-005-2017-2,ocds-lcuori-MLQnAG-LPri-HGS-005-2017-2/3,MLQnAG-LPri-HGS-005-2017(2),MLQnAG-LPri-HGS-005-2017(2),check,GXRbOrV,Banco de Occidente S.A.
ocds-lcuori-XRb6JR-REQ-1174-2017-1,ocds-lcuori-XRb6JR-REQ-1174-2017-1/3,XRb6JR-REQ-1174-2017,XRb6JR-REQ-1174-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-vGZKAR-CM-AMD-UTM-039-2017-1,ocds-lcuori-vGZKAR-CM-AMD-UTM-039-2017-1/4,vGZKAR-UTM CONT.-00102-2017,vGZKAR-UTM CONT.-00102-2017,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-PLeQ0L-CON-MEP-084-17-1,ocds-lcuori-PLeQ0L-CON-MEP-084-17-1/4,PLeQ0L-CON-MEP-084-17,PLeQ0L-CON-MEP-084-17,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-grxXEr-L.P.006-17-2,ocds-lcuori-grxXEr-L.P.006-17-2/3,grxXEr-3021,grxXEr-3021,check,GoLj6LM,Banco Mercantil S.A.
ocds-lcuori-wrV3LP-COT-IDECOAS-FHIS-01-2017-2,ocds-lcuori-wrV3LP-COT-IDECOAS-FHIS-01-2017-2/3,wrV3LP-59919,wrV3LP-59919,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-01-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-01-2017-2/3,wrV3LP-59781,wrV3LP-59781,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-02-2017-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-02-2017-2/3,wrV3LP-59842,wrV3LP-59842,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-03-2017-2,ocds-lcuori-mGE4eL-LPR-IDECOAS-FHIS-03-2017-2/3,mGE4eL-59924,mGE4eL-59924,suretyBond,GwrV3LP,Seguros Crefisa S.A.
ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-123-2016 2º proceso-2,ocds-lcuori-wrV3LP-LPR-IDECOAS-FHIS-123-2016 2º proceso-2/3,wrV3LP-59486,wrV3LP-59486,suretyBond,GkG1DLQ,Seguros del País S.A.
