ocid,id,contracts/0/id,contracts/0/dateSigned,contracts/0/description,contracts/0/buyer/id,contracts/0/buyer/name,contracts/0/awardID,contracts/0/title,contracts/0/value/currency,contracts/0/value/amount,contracts/0/localProcurementCategory
ocds-lcuori-vGZVoG-SS-PICSC-CP-07-2017-1,ocds-lcuori-vGZVoG-SS-PICSC-CP-07-2017-1/3,vGZVoG-SS-UCP-12-2017,2017-05-25T00:00:00-06:00,"Esta contratacion de servicios tiene como objetico la Impresion de Guias Metodologicas Miles de Manos para Docentes, Madres y Padres de Familia.",vGZVoG-MrMgGe,Programa BID-Préstamo 2745/BL/HO,vGZVoG-SS-PICSC-CP-07-2017-1,SS-UCP-12-2017,HNL,83386.5,goodsOrServices
ocds-lcuori-mGEMGM-DCS-048-2017-1,ocds-lcuori-mGEMGM-DCS-048-2017-1/3,mGEMGM-097-2017,2017-05-01T00:00:00-06:00,MICROFÓNO INALÁMBRICO,mGEMGM-NLPKrv,Unidad Central,mGEMGM-DCS-048-2017-1,097-2017,HNL,2875.0,goodsOrServices
ocds-lcuori-grxELe-12-2017-SAG-1,ocds-lcuori-grxELe-12-2017-SAG-1/3,grxELe-12-2017-SAG,2017-05-04T00:00:00-06:00,35620: 1512 LITROS DE DIESEL,grxELe-MLQALQ,Unidad Central,grxELe-12-2017-SAG-1,12-2017-SAG,HNL,28637.28,goodsOrServices
ocds-lcuori-ERpWgG-SRE COTIZACION No.091-2017-1,ocds-lcuori-ERpWgG-SRE COTIZACION No.091-2017-1/3,ERpWgG-OC No.163-2017,2017-04-21T00:00:00-06:00,PRODUCTOS DE ARTES GRAFICAS.,ERpWgG-Er6JrN,Sub Gerencia de Recursos Materiales y Servicios Generales,ERpWgG-SRE COTIZACION No.091-2017-1,OC No.163-2017,HNL,6210.0,goodsOrServices
ocds-lcuori-1RaaPR-11-1,ocds-lcuori-1RaaPR-11-1/3,1RaaPR-1,2017-07-20T00:00:00-06:00,Consultoria para el servicio de un sistema contable financiero para la sapp,1RaaPR-PLeM6L,Administraciòn y Finazas,1RaaPR-11-1,1,HNL,188640.0,consultingServices
ocds-lcuori-jRDA5r-SOLICITUD 103-1,ocds-lcuori-jRDA5r-SOLICITUD 103-1/3,jRDA5r-SOLICITUD 103,2017-04-04T00:00:00-06:00,Compra de dos Baterias ,jRDA5r-MLQ77R,Gerencia de Negocios,jRDA5r-SOLICITUD 103-1,SOLICITUD 103,HNL,5702.96,goodsOrServices
ocds-lcuori-7G3mOr-CC-170-HBCBHSPS-2017-1,ocds-lcuori-7G3mOr-CC-170-HBCBHSPS-2017-1/3,7G3mOr-170,2017-03-31T00:00:00-06:00,COMPRA DE REPUESTOS,7G3mOr-MLQ77R,"Cuerpo de Bomberos San Pedro Sula, Cortés.",7G3mOr-CC-170-HBCBHSPS-2017-1,170,HNL,8411.5,goodsOrServices
ocds-lcuori-ERpWgG-SRE COTIZACION No.096-2017-1,ocds-lcuori-ERpWgG-SRE COTIZACION No.096-2017-1/3,ERpWgG-OC No.139-2017,2017-04-21T00:00:00-06:00,CEREMONMIAL Y PROTOCOLO.,ERpWgG-Er6JrN,Sub Gerencia de Recursos Materiales y Servicios Generales,ERpWgG-SRE COTIZACION No.096-2017-1,OC No.139-2017,HNL,924.89,goodsOrServices
ocds-lcuori-orvkNL-LPN No.02-2017-SEAF-UNAH-2,ocds-lcuori-orvkNL-LPN No.02-2017-SEAF-UNAH-2/3,orvkNL-37-2017-SEAF-UNAH,2017-06-01T00:00:00-06:00,SUMINISTRO DE SERVICIO DE ALMACENAMIENTO Y TRANSPORTE DE DOCUMENTOS PARA LA DIRECCIÓN DEL SISTEMA DE ADMISIÓN DE LA UNIVERSIDAD NACIONAL AUTÓNOMA DE HONDURAS”,orvkNL-PGJALo,Departamento de Compras y Suministros,orvkNL-LPN No.02-2017-SEAF-UNAH-2,37-2017-SEAF-UNAH,HNL,720000.0,goodsOrServices
ocds-lcuori-mGEMGM-DCS-051-2017-1,ocds-lcuori-mGEMGM-DCS-051-2017-1/3,mGEMGM-107-2017,2017-05-09T00:00:00-06:00,CAFETERA Y BARRIL,mGEMGM-NLPKrv,Unidad Central,mGEMGM-DCS-051-2017-1,107-2017,HNL,1465.79,goodsOrServices
