ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/description,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name
ocds-lcuori-wrV3LP-CP-IDECOAS-FHIS-03-2017-2,ocds-lcuori-wrV3LP-CP-IDECOAS-FHIS-03-2017-2/3,wrV3LP-CP-IDECOAS-FHIS-03-2017-2,3.0-FkR2qGv,Prestamo,FkR2qGv,Alemania
ocds-lcuori-4LOxWG-26-2017-2,ocds-lcuori-4LOxWG-26-2017-2/3,4LOxWG-26-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-35-2017-2,ocds-lcuori-4LOxWG-35-2017-2/3,4LOxWG-35-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-49-2017-2,ocds-lcuori-4LOxWG-49-2017-2/3,4LOxWG-49-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-50-2017-2,ocds-lcuori-4LOxWG-50-2017-2/3,4LOxWG-50-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-52-2017-2,ocds-lcuori-4LOxWG-52-2017-2/3,4LOxWG-52-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-53-2017-2,ocds-lcuori-4LOxWG-53-2017-2/3,4LOxWG-53-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-54-2017-2,ocds-lcuori-4LOxWG-54-2017-2/3,4LOxWG-54-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-55-2017-2,ocds-lcuori-4LOxWG-55-2017-2/3,4LOxWG-55-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-yRl8kR-LPN-001-IHTT-2017-2,ocds-lcuori-yRl8kR-LPN-001-IHTT-2017-2/3,yRl8kR-LPN-001-IHTT-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-64-2017-2,ocds-lcuori-4LOxWG-64-2017-2/3,4LOxWG-64-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
ocds-lcuori-4LOxWG-65-2017-2,ocds-lcuori-4LOxWG-65-2017-2/3,4LOxWG-65-2017-2,1.0-FlRo2G5,Recursos Nacionales,FlRo2G5,Entidad
