ocid,id,awards/0/id,awards/0/documents/0/id,awards/0/documents/0/documentType,awards/0/documents/0/datePublished,awards/0/documents/0/description,awards/0/documents/0/format,awards/0/documents/0/title,awards/0/documents/0/url
ocds-lcuori-mGEMGM-LPN-SEFIN-004-2019-2,ocds-lcuori-mGEMGM-LPN-SEFIN-004-2019-2/6,mGEMGM-LPN-SEFIN-004-2019-2,143351,awardNotice,2019-11-29T10:41:53.603000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic42LPN-SEFIN-004-2019807-ResoluciondelaAdjudicacion.PDF
ocds-lcuori-7G3n9L-LP 005-2019 FUNDAGES HEAC-2,ocds-lcuori-7G3n9L-LP 005-2019 FUNDAGES HEAC-2/4,7G3n9L-LP 005-2019 FUNDAGES HEAC-2,142714,awardNotice,2019-11-14T10:35:06.500000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic996LP%20005-2019%20FUNDAGES%20HEAC802-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-WRzbRe-LPR-044-DGC-UATSV-2019-2,ocds-lcuori-WRzbRe-LPR-044-DGC-UATSV-2019-2/6,WRzbRe-LPR-044-DGC-UATSV-2019-2,142591,awardNotice,2019-11-12T14:10:46.963000-06:00,Resolucion de la Adjudicacion,image/jpeg,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic10LPR-044-DGC-UATSV-2019805-ResoluciondelaAdjudicacion.jpg
ocds-lcuori-kR05rP-LPR-030-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-030-UDEIP-INSEP-2019-2/4,kR05rP-LPR-030-UDEIP-INSEP-2019-2,139893,awardNotice,2019-09-23T14:58:11.103000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic12LPR-030-UDEIP-INSEP-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-jRDkQG-CM-265-2019-HMCR--2,ocds-lcuori-jRDkQG-CM-265-2019-HMCR--2/4,jRDkQG-CM-265-2019-HMCR--2,138244,awardNotice,2019-08-16T14:27:26.603000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic104CM-265-2019-HMCR-803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-7rBxpG-LPública No.23-2019-2,ocds-lcuori-7rBxpG-LPública No.23-2019-2/6,7rBxpG-LPública No.23-2019-2,143361,awardNotice,2019-11-29T14:24:33.407000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic123LP%C3%BAblica%20No.23-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-MLQnAG-LPriv-031-2019-HGS-2,ocds-lcuori-MLQnAG-LPriv-031-2019-HGS-2/5,MLQnAG-LPriv-031-2019-HGS-2,139450,awardNotice,2019-09-12T14:28:32.583000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic93LPriv-031-2019-HGS803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-MLQnAG-LPriv-038-2019-HGS-2,ocds-lcuori-MLQnAG-LPriv-038-2019-HGS-2/4,MLQnAG-LPriv-038-2019-HGS-2,141310,awardNotice,2019-10-22T14:45:16.637000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic93LPriv-038-2019-HGS806-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-1RaMPR-SCI-16-COMRURAL-2019-2,ocds-lcuori-1RaMPR-SCI-16-COMRURAL-2019-2/6,1RaMPR-SCI-16-COMRURAL-2019-2,146659,awardNotice,2020-04-01T19:57:42.637000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic703SCI-16-COMRURAL-2019803-ResoluciondelaAdjudicacion.pdf
ocds-lcuori-wrVn3r-15-032-2019-2,ocds-lcuori-wrVn3r-15-032-2019-2/4,wrVn3r-15-032-2019-2,139085,awardNotice,2019-09-05T15:36:17.637000-06:00,Resolucion de la Adjudicacion,application/pdf,Resolucion de la Adjudicacion,http://h1.honducompras.gob.hn/Docs/Lic9915-032-2019803-ResoluciondelaAdjudicacion.pdf
