ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name,planning/budget/budgetBreakdown/0/description
ocds-lcuori-PR8ooG-CM-156-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-156-CONAPID-2019-1/5,PR8ooG-CM-156-CONAPID-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-grxELe-606-2019-SAG-1,ocds-lcuori-grxELe-606-2019-SAG-1/2,grxELe-606-2019-SAG-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-Er6QoR-CM-033-LV-2019-1,ocds-lcuori-Er6QoR-CM-033-LV-2019-1/2,Er6QoR-CM-033-LV-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-ERpaDr-LP47-19-HEP-2,ocds-lcuori-ERpaDr-LP47-19-HEP-2/5,ERpaDr-LP47-19-HEP-2,1.0-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-grxELe-319-2019-SAG-1,ocds-lcuori-grxELe-319-2019-SAG-1/5,grxELe-319-2019-SAG-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-PR8ooG-CM-169-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-169-CONAPID-2019-1/5,PR8ooG-CM-169-CONAPID-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-Zr5B9L-CM-SESAL-NC-0810-P-0639-2019-1,ocds-lcuori-Zr5B9L-CM-SESAL-NC-0810-P-0639-2019-1/2,Zr5B9L-CM-SESAL-NC-0810-P-0639-2019-1,1-FgRNyG6,FgRNyG6,Fondo Común ,Recursos Nacionales
ocds-lcuori-NrdVGA-LPN-007-DGME-DGA-SE-2019-2,ocds-lcuori-NrdVGA-LPN-007-DGME-DGA-SE-2019-2/5,NrdVGA-LPN-007-DGME-DGA-SE-2019-2,1.0-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-jRDYor-CM-102-SEDIS-2019-1,ocds-lcuori-jRDYor-CM-102-SEDIS-2019-1/5,jRDYor-CM-102-SEDIS-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-mGEMGM-LPN-SEFIN-004-2019-2,ocds-lcuori-mGEMGM-LPN-SEFIN-004-2019-2/6,mGEMGM-LPN-SEFIN-004-2019-2,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-7G3n9L-LP 005-2019 FUNDAGES HEAC-2,ocds-lcuori-7G3n9L-LP 005-2019 FUNDAGES HEAC-2/4,7G3n9L-LP 005-2019 FUNDAGES HEAC-2,1.0-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-jRDA5r-SOLICITUD748-1,ocds-lcuori-jRDA5r-SOLICITUD748-1/5,jRDA5r-SOLICITUD748-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-PR8ooG-CM-174-CONAPID-2019-1,ocds-lcuori-PR8ooG-CM-174-CONAPID-2019-1/5,PR8ooG-CM-174-CONAPID-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
