ocid,id,tender/id,tender/documents/0/id,tender/documents/0/documentType,tender/documents/0/datePublished,tender/documents/0/description,tender/documents/0/format,tender/documents/0/title,tender/documents/0/url
ocds-lcuori-ERpaDr-LP47-19-HEP-2,ocds-lcuori-ERpaDr-LP47-19-HEP-2/5,ERpaDr-LP47-19-HEP-2,136424,biddingDocuments,2019-07-12T10:57:07.093000-06:00,Pliego o Terminos de Referencia,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Pliego o Terminos de Referencia,http://h1.honducompras.gob.hn/Docs/Lic100LP47-19-HEP200-PliegooTerminosdeReferencia.docx
ocds-lcuori-ERpaDr-LP47-19-HEP-2,ocds-lcuori-ERpaDr-LP47-19-HEP-2/5,ERpaDr-LP47-19-HEP-2,141022,cancellationDetails,2019-10-17T14:34:18.083000-06:00,Declaratoria de Proceso Desierto,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Declaratoria de Proceso Desierto,http://h1.honducompras.gob.hn/Docs/Lic100LP47-19-HEP1102-DeclaratoriadeProcesoDesierto.docx
ocds-lcuori-ERpaDr-LP47-19-HEP-2,ocds-lcuori-ERpaDr-LP47-19-HEP-2/5,ERpaDr-LP47-19-HEP-2,141023,cancellationDetails,2019-10-17T14:34:18.263000-06:00,Declaratoria de Proceso Desierto,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Declaratoria de Proceso Desierto,http://h1.honducompras.gob.hn/Docs/Lic100LP47-19-HEP1102-DeclaratoriadeProcesoDesierto.docx
ocds-lcuori-ERpaDr-LP47-19-HEP-2,ocds-lcuori-ERpaDr-LP47-19-HEP-2/5,ERpaDr-LP47-19-HEP-2,141024,cancellationDetails,2019-10-17T14:34:18.437000-06:00,Declaratoria de Proceso Desierto,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Declaratoria de Proceso Desierto,http://h1.honducompras.gob.hn/Docs/Lic100LP47-19-HEP1102-DeclaratoriadeProcesoDesierto.docx
ocds-lcuori-ERpaDr-LP47-19-HEP-2,ocds-lcuori-ERpaDr-LP47-19-HEP-2/5,ERpaDr-LP47-19-HEP-2,141025,cancellationDetails,2019-10-17T14:34:18.513000-06:00,Declaratoria de Proceso Desierto,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Declaratoria de Proceso Desierto,http://h1.honducompras.gob.hn/Docs/Lic100LP47-19-HEP1102-DeclaratoriadeProcesoDesierto.docx
ocds-lcuori-ERpaDr-LP47-19-HEP-2,ocds-lcuori-ERpaDr-LP47-19-HEP-2/5,ERpaDr-LP47-19-HEP-2,141026,cancellationDetails,2019-10-17T14:34:18.593000-06:00,Declaratoria de Proceso Desierto,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Declaratoria de Proceso Desierto,http://h1.honducompras.gob.hn/Docs/Lic100LP47-19-HEP1102-DeclaratoriadeProcesoDesierto.docx
ocds-lcuori-ERpaDr-LP47-19-HEP-2,ocds-lcuori-ERpaDr-LP47-19-HEP-2/5,ERpaDr-LP47-19-HEP-2,141027,cancellationDetails,2019-10-17T14:34:18.797000-06:00,Declaratoria de Proceso Desierto,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Declaratoria de Proceso Desierto,http://h1.honducompras.gob.hn/Docs/Lic100LP47-19-HEP1102-DeclaratoriadeProcesoDesierto.docx
ocds-lcuori-ERpaDr-LP47-19-HEP-2,ocds-lcuori-ERpaDr-LP47-19-HEP-2/5,ERpaDr-LP47-19-HEP-2,136425,x_solicitationDocumentAnnexe,2019-07-12T10:57:41.270000-06:00,Anexos al Pliego ,application/pdf,Anexos al Pliego ,http://h1.honducompras.gob.hn/Docs/Lic100LP47-19-HEP1401-AnexosalPliego.pdf
ocds-lcuori-NrdVGA-LPN-007-DGME-DGA-SE-2019-2,ocds-lcuori-NrdVGA-LPN-007-DGME-DGA-SE-2019-2/5,NrdVGA-LPN-007-DGME-DGA-SE-2019-2,136222,tenderNotice,2019-07-10T10:31:41.710000-06:00,Aviso de Prensa,application/pdf,Aviso de Prensa,http://h1.honducompras.gob.hn/Docs/Lic13LPN-007-DGME-DGA-SE-2019100-AvisodePrensa.pdf
ocds-lcuori-NrdVGA-LPN-007-DGME-DGA-SE-2019-2,ocds-lcuori-NrdVGA-LPN-007-DGME-DGA-SE-2019-2/5,NrdVGA-LPN-007-DGME-DGA-SE-2019-2,136225,biddingDocuments,2019-07-10T10:34:14.557000-06:00,Pliego o Terminos de Referencia,application/pdf,Pliego o Terminos de Referencia,http://h1.honducompras.gob.hn/Docs/Lic13LPN-007-DGME-DGA-SE-2019201-PliegooTerminosdeReferencia.pdf
