ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/type,tender/participationFees/0/value/amount
ocds-lcuori-mGEMGM-LPN-SEFIN-004-2019-2,ocds-lcuori-mGEMGM-LPN-SEFIN-004-2019-2/6,mGEMGM-LPN-SEFIN-004-2019-2,mGEMGM-LPN-SEFIN-004-2019-2,document,200.0
ocds-lcuori-kR05rP-LPR-030-UDEIP-INSEP-2019-2,ocds-lcuori-kR05rP-LPR-030-UDEIP-INSEP-2019-2/4,kR05rP-LPR-030-UDEIP-INSEP-2019-2,kR05rP-LPR-030-UDEIP-INSEP-2019-2,document,200.0
ocds-lcuori-7rBxpG-LPública No.23-2019-2,ocds-lcuori-7rBxpG-LPública No.23-2019-2/6,7rBxpG-LPública No.23-2019-2,7rBxpG-LPública No.23-2019-2,document,200.0
ocds-lcuori-gRN9jG-lpn SS FAHSL 004-2019-2,ocds-lcuori-gRN9jG-lpn SS FAHSL 004-2019-2/2,gRN9jG-lpn SS FAHSL 004-2019-2,gRN9jG-lpn SS FAHSL 004-2019-2,document,300.0
ocds-lcuori-oLjXbR-01-CLP-001-MO-2,ocds-lcuori-oLjXbR-01-CLP-001-MO-2/2,oLjXbR-01-CLP-001-MO-2,oLjXbR-01-CLP-001-MO-2,document,1000.0
ocds-lcuori-2LmqDL-LPuNBS-06-AMDC-77-2019-2,ocds-lcuori-2LmqDL-LPuNBS-06-AMDC-77-2019-2/4,2LmqDL-LPuNBS-06-AMDC-77-2019-2,2LmqDL-LPuNBS-06-AMDC-77-2019-2,document,500.0
ocds-lcuori-mrYQZr-CPN-001-2019-SDN-2,ocds-lcuori-mrYQZr-CPN-001-2019-SDN-2/3,mrYQZr-CPN-001-2019-SDN-2,mrYQZr-CPN-001-2019-SDN-2,document,200.0
ocds-lcuori-2LmqDL-LPuNBS-07-AMDC-83-2019-2,ocds-lcuori-2LmqDL-LPuNBS-07-AMDC-83-2019-2/3,2LmqDL-LPuNBS-07-AMDC-83-2019-2,2LmqDL-LPuNBS-07-AMDC-83-2019-2,document,500.0
ocds-lcuori-7rBxpG-LPÚBLICA NO.28-2019-2,ocds-lcuori-7rBxpG-LPÚBLICA NO.28-2019-2/3,7rBxpG-LPÚBLICA NO.28-2019-2,7rBxpG-LPÚBLICA NO.28-2019-2,document,200.0
ocds-lcuori-gLnq2r-001-2019-UFTF-2,ocds-lcuori-gLnq2r-001-2019-UFTF-2/2,gLnq2r-001-2019-UFTF-2,gLnq2r-001-2019-UFTF-2,document,250000.0
ocds-lcuori-mrY1dr-LPN-SEDS-010-2019-2,ocds-lcuori-mrY1dr-LPN-SEDS-010-2019-2/2,mrY1dr-LPN-SEDS-010-2019-2,mrY1dr-LPN-SEDS-010-2019-2,document,300.0
ocds-lcuori-mrY1dr-LPN-SEDS-OBRAS-002-2019-2,ocds-lcuori-mrY1dr-LPN-SEDS-OBRAS-002-2019-2/2,mrY1dr-LPN-SEDS-OBRAS-002-2019-2,mrY1dr-LPN-SEDS-OBRAS-002-2019-2,document,300.0
ocds-lcuori-7GXmzR-LP-007-2019 CCIVS -2,ocds-lcuori-7GXmzR-LP-007-2019 CCIVS -2/4,7GXmzR-LP-007-2019 CCIVS -2,7GXmzR-LP-007-2019 CCIVS -2,document,1000.0
ocds-lcuori-mGEMGM-LPN-SEFIN-008-2019-2,ocds-lcuori-mGEMGM-LPN-SEFIN-008-2019-2/3,mGEMGM-LPN-SEFIN-008-2019-2,mGEMGM-LPN-SEFIN-008-2019-2,document,200.0
ocds-lcuori-2LmqDL-LPrNO-42-AMDC-92-2019-2,ocds-lcuori-2LmqDL-LPrNO-42-AMDC-92-2019-2/2,2LmqDL-LPrNO-42-AMDC-92-2019-2,2LmqDL-LPrNO-42-AMDC-92-2019-2,document,200.0
