ocid,id,awards/0/id,awards/0/items/0/id,awards/0/items/0/description,awards/0/items/0/unit/name,awards/0/items/0/unit/value/amount,awards/0/items/0/quantity,awards/0/items/0/classification/id,awards/0/items/0/classification/description,awards/0/items/0/classification/scheme
ocds-lcuori-Zr56vL-Cot.000100-2020-1,ocds-lcuori-Zr56vL-Cot.000100-2020-1/2,Zr56vL-Cot.000100-2020-1,Zr56vLCot.000100-20201630761,18 RECARGAS DE CILINDRO DE OXIGENO 220 PC,Cada uno,404.8,18.0,12141904,Oxígeno O,UNSPSC
ocds-lcuori-Zr56vL-Cot.000100-2020-1,ocds-lcuori-Zr56vL-Cot.000100-2020-1/2,Zr56vL-Cot.000100-2020-1,Zr56vLCot.000100-20201630762,8 RECARGAS DE CILINDRO DE ACETILENO  221 PC,Cada uno,1499.4850000000001,8.0,15111506,Acetileno,UNSPSC
ocds-lcuori-1RaElR-024-2020-1,ocds-lcuori-1RaElR-024-2020-1/2,1RaElR-024-2020-1,1RaElR024-20201630892,TIRAS DE GLUCOMETRIAS,Cada uno,5.635000000000001,10000.0,42312403,Tiras de empaque para el cuidado de heridas,UNSPSC
ocds-lcuori-oLjYzr-CM-056-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-056-MSFYC-2020-1/2,oLjYzr-CM-056-MSFYC-2020-1,oLjYzrCM-056-MSFYC-20201631627,COMPRA DE COMBUSTIBLE PARA OFICINA DISTRITAL DE EDUCACIÓN DE LA CABECERA MUNICIPAL,Sin Unidad,23772.24,1.0,78180301,Aprovisionar vehículos de combustible,UNSPSC
ocds-lcuori-vGZKAR-CM-AMD-CS-125-2020-1,ocds-lcuori-vGZKAR-CM-AMD-CS-125-2020-1/3,vGZKAR-CM-AMD-CS-125-2020-1,vGZKARCM-AMD-CS-125-20201630981,"125 KITS ESCOLARES
1 MOCHILA CON SERIGRAFIA
3 LIBRETAS
1 REGLA
1 CAJA DE COLORES
1 BORRADOR
1 SACAPUNTAS
3 LAPICES TINTA
1 LAPIZ CARBON
Las cotizaciones se recibirán hasta el día 12 de Marzo del 2020 en la Oficina de Compras y Suministro en atención a Reina Valerio Jefe del Departamento Las cotizaciones deben venir acompañadas de fotocopia de permiso de operación vigente, fotocopia de identidad, fotocopia de solvencia municipal, fotocopia del RTN y constancia de inscripción de ONCAE. El ganador deberá presentar declaración Jurada. El plazo de entrega del producto será contra entrega el 18 de Marzo 2020 y se recibirá el producto en buen estado. El proveedor deberá presentar factura original y comprobante de entrega para hacer efectivo el pago. La municipalidad proporcionara el formato para la presentación de la cotización. Para cualquier consulta comunicarse a los teléfonos 27632199 cel. 88648565 con Reina Valerio correo Valerioreinaelizabethgmail.com",Unidad,26375.0,1.0,53121603,Mochilas,UNSPSC
ocds-lcuori-NLPAVG-2020-043-FN-INAM-1,ocds-lcuori-NLPAVG-2020-043-FN-INAM-1/2,NLPAVG-2020-043-FN-INAM-1,NLPAVG2020-043-FN-INAM1630997,ACCESORIOS PARA LIMPIEZA EQUIPO DE COMPUTO,Cada uno,4135.514999999999,1.0,44112008,Planificadores de pared o recambios,UNSPSC
ocds-lcuori-grxKER-DGMM-CM-0005-2020-1,ocds-lcuori-grxKER-DGMM-CM-0005-2020-1/3,grxKER-DGMM-CM-0005-2020-1,grxKERDGMM-CM-0005-20201623841,Mantenimiento y reparación de UPS,Unidades,9832.5,1.0,72102203,Instalación de equipos de comunicaciones,UNSPSC
ocds-lcuori-grxKER-DGMM-CM-0006-2020-1,ocds-lcuori-grxKER-DGMM-CM-0006-2020-1/3,grxKER-DGMM-CM-0006-2020-1,grxKERDGMM-CM-0006-20201623842,SERVICIO TECNICO DE REPARACION ,Megawatt,2760.0,1.0,72102209,Arrastre de cables,UNSPSC
ocds-lcuori-grxKER-DGMM-CM-0008-2020-1,ocds-lcuori-grxKER-DGMM-CM-0008-2020-1/3,grxKER-DGMM-CM-0008-2020-1,grxKERDGMM-CM-0008-20201623844,ENVIO DE PAQUETES A GRECIA ,Unidades,641.08,1.0,78102002,Servicios de carga útil experimental,UNSPSC
ocds-lcuori-2LA41r-HND-016-B 01-2019-1,ocds-lcuori-2LA41r-HND-016-B 01-2019-1/3,2LA41r-HND-016-B 01-2019-1,2LA41rHND-016-B 01-20191623879,Consultoria tecnica para asistencia en campaña ambiental ,Sin Unidad,,,77101701,Servicios de asesoría de ciencias medioambientales,UNSPSC
