ocid,id,contracts/0/id,contracts/0/documents/0/id,contracts/0/documents/0/description,contracts/0/documents/0/documentType,contracts/0/documents/0/title,contracts/0/documents/0/format,contracts/0/documents/0/datePublished,contracts/0/documents/0/url
ocds-lcuori-PR8Q5r-06-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-06-CM-IHT-2020-1/4,PR8Q5r-OC 11-2020,65712-PR8Q5r-OC 11-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-11T10:31:20.733000-06:00,http://h1.honducompras.gob.hn/Docs/Con1136OC%2011-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1,ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1/5,1RaEMR-003-2020-A,65838-1RaEMR-003-2020-A-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-26T15:08:23.107000-06:00,http://h1.honducompras.gob.hn/Docs/Con103003-2020-A1200-ContratouOrdendeCompra.pdf
ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1,ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1/5,1RaEMR-003-2020-B,65839-1RaEMR-003-2020-B-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-26T15:33:00.510000-06:00,http://h1.honducompras.gob.hn/Docs/Con103003-2020-B1200-ContratouOrdendeCompra.pdf
ocds-lcuori-0rww4r-CM-HBCBHSC-003-2020-1,ocds-lcuori-0rww4r-CM-HBCBHSC-003-2020-1/4,0rww4r-CM-003-CBSC-2020,65217-0rww4r-CM-003-CBSC-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-04T20:31:31.563000-06:00,http://h1.honducompras.gob.hn/Docs/Con834CM-003-CBSC-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-0rww4r-CM-HBCBHSC-005-2020-1,ocds-lcuori-0rww4r-CM-HBCBHSC-005-2020-1/4,0rww4r-CM-005-CBSC-2020,65219-0rww4r-CM-005-CBSC-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-04T20:48:10.693000-06:00,http://h1.honducompras.gob.hn/Docs/Con834CM-005-CBSC-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-2Lmz0G-CM-001-BNP-2020-1,ocds-lcuori-2Lmz0G-CM-001-BNP-2020-1/4,2Lmz0G-CA-20-0000007,65417-2Lmz0G-CA-20-0000007-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-13T13:46:07.190000-06:00,http://h1.honducompras.gob.hn/Docs/Con165CA-20-00000071200-ContratouOrdendeCompra.pdf
ocds-lcuori-PR8Q5r-18-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-18-CM-IHT-2020-1/4,PR8Q5r-024-2020,65806-PR8Q5r-024-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-03-12T15:14:41.587000-06:00,http://h1.honducompras.gob.hn/Docs/Con1136024-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-JL7JBr-CM-09-HBCBHR-2020-1,ocds-lcuori-JL7JBr-CM-09-HBCBHR-2020-1/4,JL7JBr-CM-006-2020,65283-JL7JBr-CM-006-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-05T17:33:00.610000-06:00,http://h1.honducompras.gob.hn/Docs/Con987CM-006-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-gLkw4L-CM-667-CBD-2020-1,ocds-lcuori-gLkw4L-CM-667-CBD-2020-1/3,gLkw4L-CM-667-CBD-2020,65157-gLkw4L-CM-667-CBD-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-03T09:20:41.903000-06:00,http://h1.honducompras.gob.hn/Docs/Con827CM-667-CBD-20201200-ContratouOrdendeCompra.pdf
ocds-lcuori-gLkw4L-CM-668-CBD-2020-1,ocds-lcuori-gLkw4L-CM-668-CBD-2020-1/3,gLkw4L-CM-668-CBD-2020,65156-gLkw4L-CM-668-CBD-2020-12,Contrato u Orden de Compra,contractSigned,Contrato u Orden de Compra,application/pdf,2020-02-03T09:05:12.433000-06:00,http://h1.honducompras.gob.hn/Docs/Con827CM-668-CBD-20201200-ContratouOrdendeCompra.pdf
