ocid,id,contracts/0/id,contracts/0/awardID,contracts/0/buyer/id,contracts/0/buyer/name,contracts/0/title,contracts/0/localProcurementCategory,contracts/0/description,contracts/0/dateSigned,contracts/0/value/amount,contracts/0/value/currency
ocds-lcuori-oLjYzr-CM-056-MSFYC-2020-1,ocds-lcuori-oLjYzr-CM-056-MSFYC-2020-1/2,oLjYzr-366,oLjYzr-CM-056-MSFYC-2020-1,oLjYzr-NrdZlG,Alcaldía Municipal de San Francisco de Yojoa,366,goodsOrServices,COMPRA DE COMBUSTIBLE PARA OFICINA DISTRITAL DE EDUCACIÓN DE LA CABECERA MUNICIPAL,2020-03-14T00:00:00-06:00,23772.24,HNL
ocds-lcuori-PR8Q5r-06-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-06-CM-IHT-2020-1/4,PR8Q5r-OC 11-2020,PR8Q5r-06-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,OC 11-2020,goodsOrServices,"Suscripcion de dos (02) ejemplares diarios del periodico   "" La Prensa"" con periodo de vigencia de un año, a partir del 1 de febrero de 2020",2020-02-13T00:00:00-06:00,4296.0,HNL
ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1,ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1/5,1RaEMR-003-2020-A,1RaEMR-CM-HJMG-003-2020-1,1RaEMR-mrYzL9,Hospital Juan Manuel Gálvez ,003-2020-A,goodsOrServices,39520 INSTRUMENTAL Y MATERIAL PARA LABORATORIO ,2020-03-26T00:00:00-06:00,19038.0,HNL
ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1,ocds-lcuori-1RaEMR-CM-HJMG-003-2020-1/5,1RaEMR-003-2020-B,1RaEMR-CM-HJMG-003-2020-1,1RaEMR-mrYzL9,Hospital Juan Manuel Gálvez ,003-2020-B,goodsOrServices,39520 INSTRUMENTAL Y MATERIAL PARA LABORATORIO,2020-03-26T00:00:00-06:00,60605.0,HNL
ocds-lcuori-0rww4r-CM-HBCBHSC-003-2020-1,ocds-lcuori-0rww4r-CM-HBCBHSC-003-2020-1/4,0rww4r-CM-003-CBSC-2020,0rww4r-CM-HBCBHSC-003-2020-1,0rww4r-MLQ77R,"Estación Local Sabá, Colón.",CM-003-CBSC-2020,goodsOrServices,"Compra de elementos de limpieza para el aseo de las instalaciones, unidades y equipo de la estación Local de Saba Colon",2020-02-04T00:00:00-06:00,5371.54,HNL
ocds-lcuori-0rww4r-CM-HBCBHSC-005-2020-1,ocds-lcuori-0rww4r-CM-HBCBHSC-005-2020-1/4,0rww4r-CM-005-CBSC-2020,0rww4r-CM-HBCBHSC-005-2020-1,0rww4r-MLQ77R,"Estación Local Sabá, Colón.",CM-005-CBSC-2020,goodsOrServices,Compra de Gato Hidráulico con capacidad de 20T para ser utilizado en las Unidades Operativas.,2020-02-04T00:00:00-06:00,1180.0,HNL
ocds-lcuori-2Lmz0G-CM-001-BNP-2020-1,ocds-lcuori-2Lmz0G-CM-001-BNP-2020-1/4,2Lmz0G-CA-20-0000007,2Lmz0G-CM-001-BNP-2020-1,2Lmz0G-JL7nrj,Unidad Central,CA-20-0000007,goodsOrServices,PLASTICO EMPAQUE,2020-01-17T00:00:00-06:00,34500.0,HNL
ocds-lcuori-PR8Q5r-18-CM-IHT-2020-1,ocds-lcuori-PR8Q5r-18-CM-IHT-2020-1/4,PR8Q5r-024-2020,PR8Q5r-18-CM-IHT-2020-1,PR8Q5r-MLQa7L,Servicios Administrativos y Financieros,024-2020,goodsOrServices,"SUSCRIPCION DEL DIARIO OFICIAL LA GACETA, EN DIGITAL A PARTIR DEL 2 DE ENERO AL 31 DE DICIEMBRE DEL AÑO 2020.",2020-04-07T00:00:00-06:00,2000.0,HNL
ocds-lcuori-MrMMAr-CM-99 BOMBEROS OCOTEPEQUE 2020-1,ocds-lcuori-MrMMAr-CM-99 BOMBEROS OCOTEPEQUE 2020-1/5,MrMMAr-CM-99 BOMBEROS OCOTEPEQUE 2020,MrMMAr-CM-99 BOMBEROS OCOTEPEQUE 2020-1,MrMMAr-MLQ77R,Cuerpo de Bomberos Ocotepeque,CM-99 BOMBEROS OCOTEPEQUE 2020,goodsOrServices,"ABASTECIMIENTO DE 200 BOTELLONES DE AGUA PURIFICADA DE 5 GALONES PARA CONSUMO DE PERSONAL DE BOMBEROS OCOTEPEQUE, QUE SERÁN DISTRIBUIDOS EN UN APROXIMADO DE 4 A 5 BOTELLONES POR SEMANA DEL PERIODO DE ENERO A DICIEMBRE DEL 2020",2020-01-31T00:00:00-06:00,4000.0,HNL
ocds-lcuori-JL7JBr-CM-09-HBCBHR-2020-1,ocds-lcuori-JL7JBr-CM-09-HBCBHR-2020-1/4,JL7JBr-CM-006-2020,JL7JBr-CM-09-HBCBHR-2020-1,JL7JBr-MLQ77R,Cuerpo de Bomberos Roatán,CM-006-2020,goodsOrServices,"Compra de seis llantas para la unidad HRB-24A901 camion tipo ambulancia doble rodaje marca CHEVY, modelo EXPRESS, año 2013 del Cuerpo de Bomberos de Roatan.",2020-02-05T00:00:00-06:00,20404.34,HNL
