ocid,id,buyer/id,buyer/name,language,tender/id,tender/procurementMethod,tender/statusDetails,tender/tenderPeriod/endDate,tender/tenderPeriod/startDate,tender/enquiryPeriod/endDate,tender/enquiryPeriod/startDate,tender/title,tender/localProcurementCategory,tender/status,tender/procurementMethodDetails,tender/datePublished,tender/procuringEntity/id,tender/procuringEntity/name,tag,date,initiationType,publisher/name,tender/description,tender/mainProcurementCategory,planning/budget/id,tender/additionalProcurementCategories
ocds-lcuori-7GXbbr-CM-MCH-0067-0020-1,ocds-lcuori-7GXbbr-CM-MCH-0067-0020-1/1,7GXbbr-orvovL,Alcaldía Municipal de Choloma,es,7GXbbr-CM-MCH-0067-0020-1,open,Elaboración,2020-03-09T16:23:00-06:00,2020-03-05T16:23:00-06:00,2020-03-09T16:23:00-06:00,2020-03-05T16:23:00-06:00,CM-MCH-0067-0020,goodsOrServices,planned,Compra Menor,2020-03-05T16:23:08.830000-06:00,7GXbbr-orvovL,Alcaldía Municipal de Choloma,tender,2020-03-05T16:23:08.830000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-jRDVyL-BANHP_092_2020-1,ocds-lcuori-jRDVyL-BANHP_092_2020-1/1,jRDVyL-kG1ADG,Unidad Central,es,jRDVyL-BANHP_092_2020-1,open,Elaboración,2020-03-06T16:24:00-06:00,2020-03-05T16:24:00-06:00,2020-03-06T16:24:00-06:00,2020-03-05T16:24:00-06:00,BANHP_092_2020,goodsOrServices,planned,Compra Menor,2020-03-05T16:24:06.323000-06:00,jRDVyL-kG1ADG,Unidad Central,tender,2020-03-05T16:24:06.323000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-XRbOkr-CS-CSJ-2020-0201-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0201-1/1,XRbOkr-gRNyG6,Compras y Suministros,es,XRbOkr-CS-CSJ-2020-0201-1,open,Elaboración,2020-03-10T16:30:00-06:00,2020-03-05T16:30:00-06:00,2020-03-10T16:30:00-06:00,2020-03-05T16:30:00-06:00,CS-CSJ-2020-0201,goodsOrServices,planned,Compra Menor,2020-03-05T16:30:32.823000-06:00,XRbOkr-gRNyG6,Compras y Suministros,tender,2020-03-05T16:30:32.823000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-XRbOkr-CS-CSJ-2020-0202-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0202-1/1,XRbOkr-gRNyG6,Compras y Suministros,es,XRbOkr-CS-CSJ-2020-0202-1,open,Elaboración,2020-03-10T16:32:00-06:00,2020-03-05T16:32:00-06:00,2020-03-10T16:32:00-06:00,2020-03-05T16:32:00-06:00,CS-CSJ-2020-0202,goodsOrServices,planned,Compra Menor,2020-03-05T16:32:27.387000-06:00,XRbOkr-gRNyG6,Compras y Suministros,tender,2020-03-05T16:32:27.387000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-XRbOkr-CS-CSJ-2020-0203-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0203-1/1,XRbOkr-gRNyG6,Compras y Suministros,es,XRbOkr-CS-CSJ-2020-0203-1,open,Elaboración,2020-03-10T16:35:00-06:00,2020-03-05T16:35:00-06:00,2020-03-10T16:35:00-06:00,2020-03-05T16:35:00-06:00,CS-CSJ-2020-0203,goodsOrServices,planned,Compra Menor,2020-03-05T16:35:19.467000-06:00,XRbOkr-gRNyG6,Compras y Suministros,tender,2020-03-05T16:35:19.467000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-XRbOkr-CS-CSJ-2020-0204-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0204-1/1,XRbOkr-gRNyG6,Compras y Suministros,es,XRbOkr-CS-CSJ-2020-0204-1,open,Elaboración,2020-03-11T16:38:00-06:00,2020-03-05T16:38:00-06:00,2020-03-11T16:38:00-06:00,2020-03-05T16:38:00-06:00,CS-CSJ-2020-0204,goodsOrServices,planned,Compra Menor,2020-03-05T16:38:21.240000-06:00,XRbOkr-gRNyG6,Compras y Suministros,tender,2020-03-05T16:38:21.240000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-XRbOkr-CS-CSJ-2020-0205-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0205-1/1,XRbOkr-gRNyG6,Compras y Suministros,es,XRbOkr-CS-CSJ-2020-0205-1,open,Elaboración,2020-03-11T16:40:00-06:00,2020-03-05T16:40:00-06:00,2020-03-11T16:40:00-06:00,2020-03-05T16:40:00-06:00,CS-CSJ-2020-0205,goodsOrServices,planned,Compra Menor,2020-03-05T16:40:59.057000-06:00,XRbOkr-gRNyG6,Compras y Suministros,tender,2020-03-05T16:40:59.057000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-XRbOkr-CS-CSJ-2020-0206-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0206-1/1,XRbOkr-gRNyG6,Compras y Suministros,es,XRbOkr-CS-CSJ-2020-0206-1,open,Elaboración,2020-03-11T16:44:00-06:00,2020-03-05T16:44:00-06:00,2020-03-11T16:44:00-06:00,2020-03-05T16:44:00-06:00,CS-CSJ-2020-0206,goodsOrServices,planned,Compra Menor,2020-03-05T16:44:31.067000-06:00,XRbOkr-gRNyG6,Compras y Suministros,tender,2020-03-05T16:44:31.067000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-XRbOkr-CS-CSJ-2020-0207-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0207-1/1,XRbOkr-gRNyG6,Compras y Suministros,es,XRbOkr-CS-CSJ-2020-0207-1,open,Elaboración,2020-03-11T17:01:00-06:00,2020-03-05T17:01:00-06:00,2020-03-11T17:01:00-06:00,2020-03-05T17:01:00-06:00,CS-CSJ-2020-0207,goodsOrServices,planned,Compra Menor,2020-03-05T17:01:58.300000-06:00,XRbOkr-gRNyG6,Compras y Suministros,tender,2020-03-05T17:01:58.300000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
ocds-lcuori-XRbOkr-CS-CSJ-2020-0208-1,ocds-lcuori-XRbOkr-CS-CSJ-2020-0208-1/1,XRbOkr-gRNyG6,Compras y Suministros,es,XRbOkr-CS-CSJ-2020-0208-1,open,Elaboración,2020-03-11T17:20:00-06:00,2020-03-05T17:20:00-06:00,2020-03-11T17:20:00-06:00,2020-03-05T17:20:00-06:00,CS-CSJ-2020-0208,goodsOrServices,planned,Compra Menor,2020-03-05T17:20:50.197000-06:00,XRbOkr-gRNyG6,Compras y Suministros,tender,2020-03-05T17:20:50.197000-06:00,tender,Oficina Normativa de Contratación y Adquisiciones del Estado (ONCAE) / Honduras,,,,
