ocid,id,tender/id,tender/documents/0/id,tender/documents/0/description,tender/documents/0/documentType,tender/documents/0/title,tender/documents/0/format,tender/documents/0/datePublished,tender/documents/0/url
ocds-lcuori-mGEqMG-COT-MJFB-01-2020-2,ocds-lcuori-mGEqMG-COT-MJFB-01-2020-2/1,mGEqMG-COT-MJFB-01-2020-2,146031,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-05T23:50:55.400000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1142COT-MJFB-01-2020101-AvisodePrensa.pdf
ocds-lcuori-mGEqMG-COT-MJFB-01-2020-2,ocds-lcuori-mGEqMG-COT-MJFB-01-2020-2/1,mGEqMG-COT-MJFB-01-2020-2,146030,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-05T23:43:28.120000-06:00,http://h1.honducompras.gob.hn/Docs/Lic1142COT-MJFB-01-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2/4,Er6jdr-PGRD-01-LPN-B-2020-2,146032,Aviso de Prensa,tenderNotice,Aviso de Prensa,image/jpeg,2020-03-06T08:24:45.417000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-01-LPN-B-2020100-AvisodePrensa.jpg
ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2/4,Er6jdr-PGRD-01-LPN-B-2020-2,146033,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-06T08:25:18.157000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-01-LPN-B-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2/4,Er6jdr-PGRD-01-LPN-B-2020-2,146579,Enmienda o Adendum,x_amendment,Enmienda o Adendum,application/pdf,2020-03-27T10:08:38.733000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-01-LPN-B-2020402-EnmiendaoAdendum.pdf
ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2/4,Er6jdr-PGRD-01-LPN-B-2020-2,146635,Enmienda o Adendum,x_amendment,Enmienda o Adendum,application/pdf,2020-03-31T15:18:33.230000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-01-LPN-B-2020403-EnmiendaoAdendum.pdf
ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2,ocds-lcuori-Er6jdr-PGRD-01-LPN-B-2020-2/4,Er6jdr-PGRD-01-LPN-B-2020-2,146795,Aclaratoria,clarifications,Aclaratoria,application/pdf,2020-04-09T13:32:12.687000-06:00,http://h1.honducompras.gob.hn/Docs/Lic719PGRD-01-LPN-B-2020504-Aclaratoria.pdf
ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2,ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2/1,2LmqDL-LPuNBS-05-AMDC-14-2020-2,146039,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-06T10:05:04.503000-06:00,http://h1.honducompras.gob.hn/Docs/Lic221LPuNBS-05-AMDC-14-2020100-AvisodePrensa.pdf
ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2,ocds-lcuori-2LmqDL-LPuNBS-05-AMDC-14-2020-2/1,2LmqDL-LPuNBS-05-AMDC-14-2020-2,146046,Pliego o Terminos de Referencia,biddingDocuments,Pliego o Terminos de Referencia,application/pdf,2020-03-06T10:24:14.520000-06:00,http://h1.honducompras.gob.hn/Docs/Lic221LPuNBS-05-AMDC-14-2020201-PliegooTerminosdeReferencia.pdf
ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2,ocds-lcuori-2LmqDL-LPuNO-01-AMDC-16-2020-2/2,2LmqDL-LPuNO-01-AMDC-16-2020-2,146042,Aviso de Prensa,tenderNotice,Aviso de Prensa,application/pdf,2020-03-06T10:11:34.657000-06:00,http://h1.honducompras.gob.hn/Docs/Lic221LPuNO-01-AMDC-16-2020100-AvisodePrensa.pdf
